
[00:00:00.000 --> 00:00:02.980]   [MUSIC PLAYING]
[00:00:02.980 --> 00:00:03.960]   So cool.
[00:00:03.960 --> 00:00:05.960]   What is this?
[00:00:05.960 --> 00:00:07.460]   Yeah.
[00:00:07.460 --> 00:00:10.460]   They're earbuds that you can hear yourself.
[00:00:10.460 --> 00:00:11.460]   So awesome.
[00:00:11.460 --> 00:00:20.960]   Is that fine?
[00:00:20.960 --> 00:00:24.460]   Yeah, that's fine.
[00:00:24.460 --> 00:00:27.960]   How many points did I actually get off that?
[00:00:27.960 --> 00:00:29.960]   Yeah, I mean, it's not--
[00:00:29.960 --> 00:00:30.960]   I don't know how to--
[00:00:30.960 --> 00:00:36.440]   I'm going on my dad.
[00:00:36.440 --> 00:00:37.440]   He doesn't need it.
[00:00:37.440 --> 00:00:38.940]   I got it.
[00:00:38.940 --> 00:00:40.940]   I'll take it.
[00:00:40.940 --> 00:00:43.440]   He already doesn't need it.
[00:00:43.440 --> 00:00:44.940]   It'd be nice to use for papership,
[00:00:44.940 --> 00:00:46.440]   because I print all my videos.
[00:00:46.440 --> 00:00:48.940]   Yeah.
[00:00:48.940 --> 00:00:49.940]   It's nice.
[00:00:49.940 --> 00:00:52.940]   I don't have to waste paper.
[00:00:52.940 --> 00:00:56.440]   Or it's a hassle to print it out and sort it.
[00:00:56.440 --> 00:00:57.440]   Sort it out.
[00:00:57.440 --> 00:00:58.440]   It's older.
[00:00:58.440 --> 00:00:59.440]   I don't throw it away.
[00:00:59.440 --> 00:01:00.440]   I save it.
[00:01:00.440 --> 00:01:00.940]   I had it.
[00:01:00.940 --> 00:01:03.940]   I leaf through it.
[00:01:03.940 --> 00:01:06.940]   I used to save it, but it was like, wait.
[00:01:06.940 --> 00:01:09.940]   I used to have a flexible holder.
[00:01:09.940 --> 00:01:12.440]   I did too in college.
[00:01:12.440 --> 00:01:13.940]   But--
[00:01:13.940 --> 00:01:16.440]   But where did you lose it?
[00:01:16.440 --> 00:01:17.440]   It's just too much.
[00:01:17.440 --> 00:01:26.440]   You bring it in?
[00:01:26.440 --> 00:01:29.440]   Is that your dog?
[00:01:29.440 --> 00:01:33.440]   No, I hate to move.
[00:01:33.440 --> 00:01:34.940]   Are you sure you're going to be fine?
[00:01:34.940 --> 00:01:37.940]   [SIDE CONVERSATION]
[00:01:37.940 --> 00:01:40.940]   [SIDE CONVERSATION]
[00:01:41.940 --> 00:01:44.940]   [SIDE CONVERSATION]
[00:01:44.940 --> 00:01:47.940]   [SIDE CONVERSATION]
[00:01:47.940 --> 00:01:50.940]   [SIDE CONVERSATION]
[00:01:50.940 --> 00:01:53.940]   [SIDE CONVERSATION]
[00:01:53.940 --> 00:01:56.940]   [SIDE CONVERSATION]
[00:01:56.940 --> 00:01:59.940]   [SIDE CONVERSATION]
[00:01:59.940 --> 00:02:02.940]   [SIDE CONVERSATION]
[00:02:02.940 --> 00:02:05.940]   [SIDE CONVERSATION]
[00:02:05.940 --> 00:02:08.940]   [SIDE CONVERSATION]
[00:02:09.940 --> 00:02:12.940]   [SIDE CONVERSATION]
[00:02:12.940 --> 00:02:21.940]   [SIDE CONVERSATION]
[00:02:21.940 --> 00:02:29.940]   [SIDE CONVERSATION]
[00:02:35.940 --> 00:02:38.940]   [SIDE CONVERSATION]
[00:02:38.940 --> 00:02:41.940]   [SIDE CONVERSATION]
[00:02:42.940 --> 00:02:45.940]   [SIDE CONVERSATION]
[00:02:46.940 --> 00:02:49.940]   [SIDE CONVERSATION]
[00:02:49.940 --> 00:02:52.940]   [SIDE CONVERSATION]
[00:02:52.940 --> 00:02:55.940]   [SIDE CONVERSATION]
[00:02:55.940 --> 00:02:58.940]   [SIDE CONVERSATION]
[00:02:58.940 --> 00:03:01.940]   [SIDE CONVERSATION]
[00:03:01.940 --> 00:03:04.940]   [SIDE CONVERSATION]
[00:03:04.940 --> 00:03:07.940]   [SIDE CONVERSATION]
[00:03:07.940 --> 00:03:10.940]   [SIDE CONVERSATION]
[00:03:10.940 --> 00:03:13.940]   [SIDE CONVERSATION]
