
[00:00:00.000 --> 00:00:02.580]   (gentle music)
[00:00:02.580 --> 00:00:06.000]   (gentle music continues)
[00:00:06.000 --> 00:00:09.420]   (gentle music continues)
[00:00:09.420 --> 00:00:12.840]   (gentle music continues)
[00:00:12.840 --> 00:00:16.260]   (gentle music continues)
[00:00:16.260 --> 00:00:19.680]   (gentle music continues)
[00:00:19.680 --> 00:00:23.100]   (gentle music continues)
[00:00:23.100 --> 00:00:26.520]   (gentle music continues)
[00:00:26.520 --> 00:00:29.940]   (gentle music continues)
[00:00:29.940 --> 00:00:33.360]   (gentle music continues)
[00:00:33.360 --> 00:00:36.780]   (gentle music continues)
[00:00:36.780 --> 00:00:40.200]   (gentle music continues)
[00:00:40.200 --> 00:00:43.620]   (gentle music continues)
[00:00:43.620 --> 00:01:08.040]   (gentle music continues)
[00:01:08.040 --> 00:01:11.460]   (gentle music continues)
[00:01:11.460 --> 00:01:23.880]   (gentle music continues)
[00:01:23.880 --> 00:01:27.300]   (gentle music continues)
[00:01:27.300 --> 00:01:30.720]   (gentle music continues)
[00:01:31.140 --> 00:01:34.640]   (gentle music continues)
[00:01:34.640 --> 00:01:50.560]   (gentle music continues)
[00:01:50.980 --> 00:01:54.400]   (gentle music continues)
[00:01:54.400 --> 00:02:10.320]   (gentle music continues)
[00:02:10.320 --> 00:02:13.740]   (gentle music continues)
[00:02:14.160 --> 00:02:17.580]   (gentle music continues)
[00:02:18.000 --> 00:02:21.420]   (gentle music continues)
[00:02:21.420 --> 00:02:24.840]   (gentle music continues)
[00:02:25.260 --> 00:02:28.680]   (gentle music continues)
[00:02:28.680 --> 00:02:49.600]   (gentle music continues)
[00:02:49.940 --> 00:02:53.360]   (gentle music continues)
[00:02:53.700 --> 00:02:57.120]   (gentle music continues)
[00:02:57.960 --> 00:03:01.380]   (gentle music continues)
[00:03:01.380 --> 00:03:04.800]   (gentle music continues)
[00:03:04.800 --> 00:03:08.220]   (gentle music continues)
[00:03:08.640 --> 00:03:12.060]   (gentle music continues)
[00:03:12.060 --> 00:03:15.480]   (gentle music continues)
[00:03:15.900 --> 00:03:19.320]   (gentle music continues)
[00:03:19.740 --> 00:03:23.160]   (gentle music continues)
[00:03:23.580 --> 00:03:27.000]   (gentle music continues)
[00:03:27.960 --> 00:03:31.380]   (gentle music continues)
[00:03:31.800 --> 00:03:35.220]   (gentle music continues)
[00:03:35.220 --> 00:03:52.140]   (gentle music continues)
[00:03:52.140 --> 00:03:55.560]   (gentle music continues)
[00:03:55.980 --> 00:03:59.400]   (gentle music continues)
[00:03:59.400 --> 00:04:02.820]   (gentle music continues)
[00:04:03.240 --> 00:04:06.660]   (gentle music continues)
[00:04:06.660 --> 00:04:23.580]   (gentle music continues)
[00:04:23.580 --> 00:04:27.000]   (gentle music continues)
[00:04:27.000 --> 00:04:42.420]   (gentle music continues)
[00:04:42.420 --> 00:04:53.340]   (gentle music continues)
[00:04:53.880 --> 00:04:55.060]   - Good evening, everybody.
[00:04:55.060 --> 00:04:59.140]   For those of you guys who are there in the back hallway,
[00:04:59.140 --> 00:05:00.720]   please make your way to your seats.
[00:05:00.720 --> 00:05:02.840]   We are gonna get started in just a moment.
[00:05:02.840 --> 00:05:05.100]   As you entered in,
[00:05:05.100 --> 00:05:08.480]   you should have received a prayer guide for tonight.
[00:05:08.480 --> 00:05:12.480]   If you don't have one, you can, on your devices,
[00:05:12.480 --> 00:05:15.100]   go to our Facebook, and the prayer guide is there.
[00:05:15.100 --> 00:05:15.940]   Post it.
[00:05:15.940 --> 00:05:19.720]   It's also on our app if you just look at Sunday worship,
[00:05:19.720 --> 00:05:21.440]   and then just go to the lyrics portion of it.
[00:05:21.440 --> 00:05:24.440]   You'll see the notes for tonight there as well.
[00:05:24.440 --> 00:05:27.320]   So it's an absolute privilege for us to come together
[00:05:27.320 --> 00:05:29.060]   and seek the Lord in prayer.
[00:05:29.060 --> 00:05:32.020]   Let's begin bowing our heads, praying together,
[00:05:32.020 --> 00:05:34.320]   and then we'll have a time of worship tonight.
[00:05:34.320 --> 00:05:36.160]   Let's pray.
[00:05:36.160 --> 00:05:40.360]   Heavenly Father, we are so grateful to you, God.
[00:05:40.360 --> 00:05:45.580]   Lord, to consider that we can lift up to you
[00:05:45.580 --> 00:05:47.860]   our requests, our thoughts.
[00:05:47.860 --> 00:05:50.320]   God, that we can approach you in this way.
[00:05:50.320 --> 00:05:52.620]   Lord, we are filled with gratitude.
[00:05:52.620 --> 00:05:54.700]   Father, we're thankful that we are able to call you
[00:05:54.700 --> 00:05:58.240]   our Abba Father, and Lord God, to seek from you
[00:05:58.240 --> 00:06:01.460]   your blessings as our heavenly Lord.
[00:06:01.460 --> 00:06:03.840]   And so I ask, God, that when we come,
[00:06:03.840 --> 00:06:07.700]   Lord, that we will come to you with eagerness, Father,
[00:06:07.700 --> 00:06:10.380]   to seek your presence, eagerness, Lord,
[00:06:10.380 --> 00:06:13.540]   to hear your instruction, eagerness, Father God,
[00:06:13.540 --> 00:06:16.400]   to connect with you first and foremost.
[00:06:16.400 --> 00:06:18.340]   I also pray, Father God, that tonight,
[00:06:18.340 --> 00:06:20.760]   as the church is gathered, Lord, may this be
