
[00:00:00.000 --> 00:00:03.160]   (audience chattering)
[00:00:03.160 --> 00:00:07.240]   (audience chattering continues)
[00:00:07.240 --> 00:00:11.320]   (audience chattering continues)
[00:00:11.320 --> 00:00:15.400]   (audience chattering continues)
[00:00:15.400 --> 00:00:19.480]   (audience chattering continues)
[00:00:19.480 --> 00:00:23.560]   (audience chattering continues)
[00:00:23.800 --> 00:00:27.880]   (audience chattering continues)
[00:00:27.880 --> 00:00:31.960]   (audience chattering continues)
[00:00:32.960 --> 00:00:37.040]   (audience chattering continues)
[00:00:37.040 --> 00:00:41.120]   (audience chattering continues)
[00:00:41.120 --> 00:00:45.200]   (audience chattering continues)
[00:00:45.200 --> 00:00:49.280]   (audience chattering continues)
[00:00:49.280 --> 00:00:53.360]   (audience chattering continues)
[00:00:53.360 --> 00:00:57.360]   (audience chattering continues)
[00:00:57.360 --> 00:01:01.360]   (audience chattering continues)
[00:01:01.360 --> 00:01:05.360]   (audience chattering continues)
[00:01:05.360 --> 00:01:09.360]   (audience chattering continues)
[00:01:09.360 --> 00:01:13.360]   (audience chattering continues)
[00:01:13.360 --> 00:01:17.360]   (audience chattering continues)
[00:01:17.360 --> 00:01:21.360]   (audience chattering continues)
[00:01:21.360 --> 00:01:47.300]   (audience chattering continues)
[00:01:47.620 --> 00:01:51.620]   (audience chattering continues)
[00:01:51.620 --> 00:01:55.620]   (audience chattering continues)
[00:01:55.620 --> 00:01:59.620]   (audience chattering continues)
[00:01:59.620 --> 00:02:03.620]   (audience chattering continues)
[00:02:03.620 --> 00:02:07.620]   (audience chattering continues)
[00:02:08.620 --> 00:02:12.620]   (audience chattering continues)
[00:02:12.620 --> 00:02:16.620]   (audience chattering continues)
[00:02:16.620 --> 00:02:20.620]   (audience chattering continues)
[00:02:20.620 --> 00:02:24.620]   (audience chattering continues)
[00:02:24.620 --> 00:02:28.620]   (audience chattering continues)
[00:02:28.620 --> 00:02:32.620]   (audience chattering continues)
[00:02:32.620 --> 00:02:36.620]   (audience chattering continues)
[00:02:36.620 --> 00:02:40.620]   (audience chattering continues)
[00:02:40.620 --> 00:02:44.620]   (audience chattering continues)
[00:02:44.620 --> 00:02:48.620]   (audience chattering continues)
[00:02:48.620 --> 00:02:52.620]   (audience chattering continues)
[00:02:52.620 --> 00:02:56.620]   (audience chattering continues)
[00:02:56.620 --> 00:03:00.620]   (audience chattering continues)
[00:03:00.620 --> 00:03:04.620]   (audience chattering continues)
[00:03:04.620 --> 00:03:08.620]   (audience chattering continues)
[00:03:08.620 --> 00:03:12.620]   (audience chattering continues)
[00:03:13.620 --> 00:03:17.620]   (audience chattering continues)
[00:03:17.620 --> 00:03:35.620]   (audience chattering continues)
[00:03:35.620 --> 00:03:39.620]   (audience chattering continues)
[00:03:39.620 --> 00:03:43.620]   (audience chattering continues)
[00:03:44.620 --> 00:03:48.620]   (audience chattering continues)
[00:03:48.620 --> 00:03:52.620]   (audience chattering continues)
[00:03:52.620 --> 00:03:56.620]   (audience chattering continues)
[00:03:57.620 --> 00:04:01.620]   (audience chattering continues)
[00:04:02.620 --> 00:04:06.620]   (audience chattering continues)
[00:04:06.620 --> 00:04:10.620]   (audience chattering continues)
[00:04:10.620 --> 00:04:14.620]   (audience chattering continues)
[00:04:15.620 --> 00:04:19.620]   (audience chattering continues)
[00:04:19.620 --> 00:04:23.620]   (audience chattering continues)
[00:04:23.620 --> 00:04:27.620]   (audience chattering continues)
[00:04:27.620 --> 00:04:31.620]   (audience chattering continues)
[00:04:31.620 --> 00:04:35.620]   (audience chattering continues)
[00:04:36.620 --> 00:04:40.620]   (audience chattering continues)
[00:04:40.620 --> 00:05:01.620]   (audience chattering continues)
[00:05:01.620 --> 00:05:05.620]   (audience chattering continues)
[00:05:05.620 --> 00:05:12.620]   (audience chattering continues)
[00:05:29.620 --> 00:05:33.620]   (audience chattering continues)
