
[00:00:00.000 --> 00:00:03.340]   ♪ Godless righteousness ♪
[00:00:03.340 --> 00:00:08.080]   ♪ The great unchangeable I am ♪
[00:00:08.080 --> 00:00:12.800]   ♪ The King of glory and of grace ♪
[00:00:12.800 --> 00:00:17.560]   ♪ One with Himself I cannot die ♪
[00:00:17.560 --> 00:00:22.280]   ♪ My soul is purged by His love ♪
[00:00:22.280 --> 00:00:27.100]   ♪ My life is here with Christ on high ♪
[00:00:27.100 --> 00:00:31.800]   ♪ With Christ my Savior and my God ♪
[00:00:31.800 --> 00:00:36.480]   ♪ One with Himself I cannot die ♪
[00:00:36.480 --> 00:00:41.240]   ♪ My soul is purged by His love ♪
[00:00:41.240 --> 00:00:46.000]   ♪ My life is here with Christ on high ♪
[00:00:46.000 --> 00:00:50.760]   ♪ With Christ my Savior and my God ♪
[00:00:50.760 --> 00:00:55.600]   ♪ With Christ my Savior and my God ♪
[00:00:55.600 --> 00:00:59.940]   ♪ With Christ my Savior and my God ♪
[00:00:59.940 --> 00:01:02.520]   (gentle music)
[00:01:02.520 --> 00:01:05.100]   (gentle music)
[00:01:05.100 --> 00:01:07.680]   (gentle music)
[00:01:07.680 --> 00:01:10.260]   (gentle music)
[00:01:10.260 --> 00:01:33.200]   (audience applauding)
[00:01:33.200 --> 00:01:35.780]   (gentle music)
[00:01:35.780 --> 00:01:58.020]   ♪ Who else commands all the hosts of heaven ♪
[00:01:59.000 --> 00:02:04.000]   ♪ Who else can make every king bow down ♪
[00:02:04.000 --> 00:02:10.120]   ♪ Who else can whisper in darkness tremble ♪
[00:02:10.120 --> 00:02:16.180]   ♪ Only our holy God ♪
[00:02:16.180 --> 00:02:23.480]   ♪ What other beauty demands such praises ♪
[00:02:24.560 --> 00:02:29.560]   ♪ What other splendor outshines the sun ♪
[00:02:29.560 --> 00:02:35.600]   ♪ What other majesty rules with justice ♪
[00:02:35.600 --> 00:02:41.640]   ♪ Only our holy God ♪
[00:02:41.640 --> 00:02:48.420]   ♪ Come and behold Him ♪
[00:02:48.420 --> 00:02:53.420]   ♪ The one and the only ♪
[00:02:53.620 --> 00:02:58.200]   ♪ Cry out, sing holy ♪
[00:02:58.200 --> 00:03:02.680]   ♪ Forever our holy God ♪
[00:03:02.680 --> 00:03:06.680]   ♪ Come and worship the holy God ♪
[00:03:06.680 --> 00:03:23.100]   ♪ What other glory consumes like fire ♪
[00:03:24.100 --> 00:03:29.100]   ♪ What other power can raise the dead ♪
[00:03:29.100 --> 00:03:35.100]   ♪ What other name remains undefeated ♪
[00:03:35.100 --> 00:03:41.280]   ♪ Only our holy God ♪
[00:03:41.280 --> 00:03:48.060]   ♪ Come and behold Him ♪
[00:03:48.060 --> 00:03:53.060]   ♪ The one and the only ♪
[00:03:53.280 --> 00:03:57.720]   ♪ Cry out, sing holy ♪
[00:03:57.720 --> 00:04:02.240]   ♪ Forever our holy God ♪
[00:04:02.240 --> 00:04:07.240]   ♪ Come and worship the holy God ♪
[00:04:07.240 --> 00:04:12.400]   ♪ Come and behold Him ♪
[00:04:12.400 --> 00:04:17.400]   ♪ The one and the only ♪
[00:04:17.400 --> 00:04:22.060]   ♪ Cry out, sing holy ♪
[00:04:22.060 --> 00:04:26.560]   ♪ Forever our holy God ♪
[00:04:26.560 --> 00:04:30.640]   ♪ Come and worship the holy God ♪
[00:04:30.640 --> 00:04:33.220]   (upbeat music)
[00:04:33.220 --> 00:05:00.540]   ♪ Who else could rescue me from my fate ♪
[00:05:01.500 --> 00:05:06.500]   ♪ Who else would offer His only Son ♪
[00:05:06.500 --> 00:05:12.420]   ♪ Who else invites me to call Him Father ♪
[00:05:12.420 --> 00:05:18.600]   ♪ Only our holy God ♪
[00:05:18.600 --> 00:05:23.600]   ♪ Only my holy God ♪
[00:05:23.600 --> 00:05:30.260]   ♪ Come and behold Him ♪
[00:05:30.260 --> 00:05:35.260]   ♪ The one and the only ♪
[00:05:35.260 --> 00:05:39.900]   ♪ Cry out, sing holy ♪
[00:05:39.900 --> 00:05:44.400]   ♪ Forever our holy God ♪
[00:05:44.400 --> 00:05:49.400]   ♪ Come and worship the holy God ♪
[00:05:49.400 --> 00:05:54.500]   ♪ Come and behold Him ♪
[00:05:54.500 --> 00:05:59.500]   ♪ The one and the only ♪
[00:05:59.800 --> 00:06:04.260]   ♪ Cry out, sing holy ♪
[00:06:04.260 --> 00:06:08.760]   ♪ Forever our holy God ♪
[00:06:08.760 --> 00:06:13.600]   ♪ Come and worship the holy God ♪
[00:06:13.600 --> 00:06:17.600]   ♪ Come and worship the holy God ♪
[00:06:17.600 --> 00:06:20.180]   (upbeat music)
[00:06:20.180 --> 00:06:46.900]   ♪ Come and behold Him ♪
[00:06:46.900 --> 00:06:51.900]   ♪ The one and the only ♪
[00:06:51.900 --> 00:06:56.620]   ♪ Cry out, sing holy ♪
[00:06:56.620 --> 00:07:01.120]   ♪ Forever our holy God ♪
[00:07:01.120 --> 00:07:05.120]   ♪ Come and worship the holy God ♪
[00:07:05.120 --> 00:07:10.760]   (congregation applauding)
[00:07:10.760 --> 00:07:13.340]   (gentle music)
[00:07:13.340 --> 00:07:37.060]   ♪ Worthy of every song we could ever sing ♪
[00:07:38.900 --> 00:07:43.900]   ♪ Worthy of all the praise we could ever bring ♪
