
[00:00:00.000 --> 00:00:02.580]   (gentle music)
[00:00:02.580 --> 00:00:06.000]   (gentle music continues)
[00:00:06.000 --> 00:00:09.420]   (gentle music continues)
[00:00:09.420 --> 00:00:12.840]   (gentle music continues)
[00:00:12.840 --> 00:00:16.260]   (gentle music continues)
[00:00:16.260 --> 00:00:19.680]   (gentle music continues)
[00:00:20.100 --> 00:00:23.600]   (gentle music continues)
[00:00:23.600 --> 00:00:27.020]   (gentle music continues)
[00:00:27.020 --> 00:00:30.440]   (gentle music continues)
[00:00:30.440 --> 00:00:33.860]   (gentle music continues)
[00:00:33.860 --> 00:00:39.280]   (gentle music continues)
[00:00:39.280 --> 00:00:45.200]   (gentle music continues)
[00:00:45.200 --> 00:00:55.200]   (gentle music continues)
[00:00:57.700 --> 00:01:01.120]   (gentle music continues)
[00:01:01.120 --> 00:01:10.740]   (gentle music continues)
[00:01:10.740 --> 00:01:18.240]   (gentle music continues)
[00:01:18.240 --> 00:01:25.660]   (gentle music continues)
[00:01:26.660 --> 00:01:30.080]   (gentle music continues)
[00:01:30.080 --> 00:01:38.080]   (gentle music continues)
[00:01:38.080 --> 00:01:49.080]   (gentle music continues)
[00:01:50.080 --> 00:01:53.500]   (gentle music continues)
[00:01:53.500 --> 00:02:07.500]   (gentle music continues)
[00:02:07.500 --> 00:02:10.920]   (gentle music continues)
[00:02:10.920 --> 00:02:27.920]   (gentle music continues)
[00:02:27.920 --> 00:02:31.340]   (gentle music continues)
[00:02:31.340 --> 00:02:49.340]   (gentle music continues)
[00:02:50.340 --> 00:02:53.760]   (gentle music continues)
[00:02:53.760 --> 00:03:06.760]   (gentle music continues)
[00:03:06.760 --> 00:03:10.180]   (gentle music continues)
[00:03:10.180 --> 00:03:23.180]   (gentle music continues)
[00:03:24.180 --> 00:03:27.600]   (gentle music continues)
[00:03:27.600 --> 00:03:39.600]   (gentle music continues)
[00:03:40.600 --> 00:03:44.020]   (gentle music continues)
[00:03:44.020 --> 00:04:00.020]   (gentle music continues)
[00:04:01.020 --> 00:04:04.440]   (gentle music continues)
[00:04:04.440 --> 00:04:16.440]   (gentle music continues)
[00:04:17.440 --> 00:04:20.860]   (gentle music continues)
[00:04:20.860 --> 00:04:43.860]   (gentle music continues)
[00:04:44.860 --> 00:04:48.280]   (gentle music continues)
[00:04:48.280 --> 00:05:13.280]   (gentle music continues)
[00:05:13.280 --> 00:05:16.700]   (gentle music continues)
[00:05:16.700 --> 00:05:28.700]   (gentle music continues)
[00:05:28.700 --> 00:05:32.120]   (gentle music continues)
[00:05:32.120 --> 00:05:47.120]   (gentle music continues)
[00:05:48.120 --> 00:05:51.540]   (gentle music continues)
[00:05:51.540 --> 00:06:05.540]   (gentle music continues)
[00:06:06.540 --> 00:06:09.960]   (gentle music continues)
[00:06:09.960 --> 00:06:25.960]   (gentle music continues)
[00:06:26.960 --> 00:06:30.380]   (gentle music continues)
[00:06:30.380 --> 00:06:44.380]   (gentle music continues)
[00:06:45.380 --> 00:06:48.800]   (gentle music continues)
[00:06:48.800 --> 00:07:08.800]   (gentle music continues)
[00:07:09.800 --> 00:07:13.220]   (gentle music continues)
[00:07:13.220 --> 00:07:25.220]   (gentle music continues)
[00:07:26.220 --> 00:07:29.640]   (gentle music continues)
[00:07:29.640 --> 00:07:43.640]   (gentle music continues)
[00:07:44.640 --> 00:07:48.060]   (gentle music continues)
[00:07:48.060 --> 00:07:58.560]   - Good morning, church family.
[00:07:58.560 --> 00:08:00.260]   We're gonna go ahead and start our worship
[00:08:00.260 --> 00:08:02.640]   with this first song, "All Glory Be to Christ."
[00:08:08.640 --> 00:08:14.060]   ♪ Should nothing of our efforts stand ♪
[00:08:14.060 --> 00:08:19.060]   ♪ No legacy survive ♪
[00:08:19.060 --> 00:08:24.060]   ♪ Until the Lord does raise the house ♪
[00:08:24.060 --> 00:08:29.060]   ♪ In vain its builders strive ♪
[00:08:29.060 --> 00:08:35.060]   ♪ To you who boast tomorrow's gain ♪
[00:08:35.060 --> 00:08:40.500]   Tell me, what is your life?
[00:08:40.500 --> 00:08:45.960]   A mist that vanishes at dawn?
[00:08:45.960 --> 00:08:50.960]   All glory be to Christ!
[00:08:50.960 --> 00:08:56.460]   All glory be to Christ our King!
[00:08:56.460 --> 00:09:01.460]   All glory be to Christ!
[00:09:01.460 --> 00:09:06.960]   His rule and reign we'll ever sing,
[00:09:06.960 --> 00:09:14.960]   All glory be to Christ!
[00:09:14.960 --> 00:09:20.460]   His will be done, His kingdom come,
[00:09:20.460 --> 00:09:25.460]   On earth as it is above.
[00:09:25.460 --> 00:09:30.960]   Who is Himself our daily bread?
[00:09:30.960 --> 00:09:36.460]   Praise Him, the Lord of all that live.
[00:09:36.460 --> 00:09:46.960]   Let living water satisfy the thirsty without price.
[00:09:46.960 --> 00:09:52.460]   We'll take a cup of kindness yet,
[00:09:52.460 --> 00:09:55.460]   All glory be to Him!
[00:09:55.460 --> 00:09:57.460]   Sing it, "All glory, Lord."
[00:09:57.460 --> 00:10:02.960]   All glory be to Christ our King!
[00:10:02.960 --> 00:10:07.960]   All glory be to Christ!
[00:10:07.960 --> 00:10:13.460]   His rule and reign we'll ever sing,
