
[00:00:00.000 --> 00:00:04.000]   Alright, we got like 10 minutes.
[00:00:04.000 --> 00:00:08.000]   How's life?
[00:00:08.000 --> 00:00:12.000]   It's good. It's busy. It's been busy actually.
[00:00:12.000 --> 00:00:16.000]   Like work?
[00:00:16.000 --> 00:00:20.000]   A little bit of work. And church stuff?
[00:00:20.000 --> 00:00:24.000]   Yeah, I feel like it's a combination. Like work has been kinda
[00:00:24.000 --> 00:00:28.000]   crazy, but it's getting better. And then we got
[00:00:28.000 --> 00:00:32.000]   a lot of people out here just planning stuff.
[00:00:32.000 --> 00:00:36.000]   [inaudible]
[00:00:36.000 --> 00:00:40.000]   What's up James?
[00:00:40.000 --> 00:00:44.000]   [inaudible]
[00:00:44.000 --> 00:00:47.180]   (audience chattering)
[00:00:47.180 --> 00:00:50.340]   (audience chattering)
[00:00:50.340 --> 00:00:53.500]   (audience chattering)
[00:00:53.500 --> 00:00:56.660]   (audience chattering)
[00:00:57.220 --> 00:01:00.380]   (audience chattering)
[00:01:00.380 --> 00:01:03.540]   (audience chattering)
[00:01:03.540 --> 00:01:09.180]   (audience chattering)
[00:01:09.180 --> 00:01:15.740]   (audience chattering)
[00:01:15.740 --> 00:01:22.060]   (audience chattering)
[00:01:22.060 --> 00:01:26.580]   (audience chattering)
[00:01:27.740 --> 00:01:30.900]   (audience chattering)
[00:01:31.740 --> 00:01:34.900]   (audience chattering)
[00:01:34.900 --> 00:01:38.060]   (audience chattering)
[00:01:38.060 --> 00:01:43.100]   (audience chattering)
[00:01:43.100 --> 00:01:51.100]   (audience chattering)
[00:01:51.100 --> 00:01:56.260]   (audience chattering)
[00:01:56.260 --> 00:02:03.020]   (audience chattering)
[00:02:03.460 --> 00:02:06.620]   (audience chattering)
[00:02:06.620 --> 00:02:09.780]   (audience chattering)
[00:02:09.780 --> 00:02:14.940]   (audience chattering)
[00:02:14.940 --> 00:02:19.540]   (audience chattering)
[00:02:19.540 --> 00:02:24.540]   (audience chattering)
[00:02:24.540 --> 00:02:29.540]   (audience chattering)
[00:02:29.540 --> 00:02:34.340]   (audience chattering)
[00:02:35.900 --> 00:02:39.060]   (audience chattering)
[00:02:39.060 --> 00:02:44.380]   (audience chattering)
[00:02:44.380 --> 00:02:52.740]   (audience chattering)
[00:02:52.740 --> 00:02:57.900]   (audience chattering)
[00:02:57.900 --> 00:03:03.860]   (audience chattering)
[00:03:03.860 --> 00:03:07.020]   (audience chattering)
[00:03:07.020 --> 00:03:11.660]   (audience chattering)
[00:03:11.660 --> 00:03:16.860]   (audience chattering)
[00:03:16.860 --> 00:03:24.380]   (audience chattering)
[00:03:31.220 --> 00:03:34.380]   (audience chattering)
[00:03:34.380 --> 00:03:46.940]   (audience chattering)
[00:03:46.940 --> 00:03:52.940]   (audience chattering)
[00:03:52.940 --> 00:04:00.300]   (audience chattering)
[00:04:00.540 --> 00:04:03.700]   (audience chattering)
[00:04:03.820 --> 00:04:06.980]   (audience chattering)
[00:04:06.980 --> 00:04:30.700]   (audience chattering)
[00:04:30.700 --> 00:04:33.860]   (audience chattering)
[00:04:33.860 --> 00:04:37.020]   (audience chattering)
[00:04:37.020 --> 00:04:40.180]   (audience chattering)
[00:04:40.180 --> 00:04:43.340]   (audience chattering)
[00:04:43.340 --> 00:04:46.500]   (audience chattering)
[00:04:46.500 --> 00:04:49.660]   (audience chattering)
[00:04:49.660 --> 00:04:52.820]   (audience chattering)
[00:04:52.820 --> 00:04:55.980]   (audience chattering)
[00:04:55.980 --> 00:04:59.140]   (audience chattering)
[00:04:59.140 --> 00:05:02.300]   (audience chattering)
[00:05:02.300 --> 00:05:05.460]   (audience chattering)
[00:05:05.460 --> 00:05:08.620]   (audience chattering)
[00:05:08.620 --> 00:05:11.780]   (audience chattering)
[00:05:11.780 --> 00:05:14.940]   (audience chattering)
[00:05:14.940 --> 00:05:40.540]   Is the crowd mic turned on on yours too?
[00:05:40.540 --> 00:05:41.620]   Can you hear it?
[00:05:41.620 --> 00:05:42.460]   Yeah.
[00:05:42.460 --> 00:05:45.580]   Is it all like kinda broken up?
[00:05:45.580 --> 00:05:47.020]   Like, yeah, a little.
[00:05:47.020 --> 00:05:49.580]   Are you asking them to turn it off?
[00:05:49.580 --> 00:05:50.780]   Are you asking them to turn it off?
[00:05:50.780 --> 00:05:52.140]   No, I just left it on.
[00:05:52.140 --> 00:05:56.500]   I was just wondering if it was also broken up on yours.
[00:05:56.500 --> 00:05:58.380]   Wait, what do you mean by broken up?
[00:05:58.380 --> 00:05:59.980]   Like it cuts out every--
[00:05:59.980 --> 00:06:01.300]   Oh no, mine doesn't cut out.
[00:06:01.300 --> 00:06:02.140]   Oh really?
[00:06:02.140 --> 00:06:03.540]   You wanna hear mine?
[00:06:03.540 --> 00:06:06.700]   (audience chattering)
[00:06:06.700 --> 00:06:09.860]   (audience chattering)
[00:06:09.860 --> 00:06:32.620]   Two more minutes.
[00:06:32.620 --> 00:06:35.780]   (audience chattering)
[00:06:35.780 --> 00:06:38.940]   (audience chattering)
[00:06:38.940 --> 00:06:55.500]   Adrian is watching, she said she can hear us.
[00:06:55.500 --> 00:06:57.580]   Oh, and we were talking?
[00:06:57.580 --> 00:06:58.420]   Adrian.
[00:06:58.420 --> 00:07:00.660]   (laughing)
[00:07:00.660 --> 00:07:03.820]   (audience chattering)
[00:07:03.820 --> 00:07:21.260]   (audience chattering)
[00:07:21.420 --> 00:07:24.780]   It's so much scarier singing when there's no piano.
[00:07:24.780 --> 00:07:26.940]   Oh, when there's no piano.
[00:07:26.940 --> 00:07:28.980]   (laughing)
[00:07:28.980 --> 00:07:30.900]   I guess, less to cover you up.
[00:07:30.900 --> 00:07:31.740]   Yeah.
[00:07:31.740 --> 00:07:34.900]   (audience chattering)
[00:07:34.900 --> 00:07:44.020]   It's okay, now everyone can hear all of this great sound.
[00:07:44.020 --> 00:07:46.820]   Adrian says, "Lol, hi, Agnes."
[00:07:46.820 --> 00:07:48.140]   Oh, I think 'cause there's a lag.
[00:07:48.140 --> 00:07:48.980]   Oh, okay.
[00:07:48.980 --> 00:07:52.140]   (audience chattering)
[00:07:52.140 --> 00:08:13.020]   She heard everything.
[00:08:13.020 --> 00:08:16.180]   (audience chattering)
[00:08:18.500 --> 00:08:21.180]   I guess they pick up a lot from,
[00:08:21.180 --> 00:08:26.860]   don't say anything bad about it.
[00:08:26.860 --> 00:08:28.860]   It's on the live stream.
[00:08:28.860 --> 00:08:32.540]   Good evening, everyone.
[00:08:32.540 --> 00:08:37.540]   Let's all take some time to prepare our hearts for worship.
[00:08:37.540 --> 00:08:40.700]   (audience chattering)
[00:08:40.860 --> 00:08:44.020]   (audience chattering)
[00:08:44.020 --> 00:08:47.180]   (audience chattering)
[00:08:47.180 --> 00:08:50.340]   (audience chattering)
[00:08:50.340 --> 00:08:53.500]   (audience chattering)
[00:08:53.500 --> 00:08:56.660]   (audience chattering)
[00:08:56.660 --> 00:08:59.820]   (audience chattering)
[00:09:00.660 --> 00:09:03.820]   (audience chattering)
[00:09:04.820 --> 00:09:07.980]   (audience chattering)
[00:09:07.980 --> 00:09:11.140]   (audience chattering)
[00:09:11.140 --> 00:09:37.500]   Heavenly Father, God, I just thank you for tonight.
[00:09:37.500 --> 00:09:39.500]   I thank you for the chance that we get
