
[00:00:00.000 --> 00:00:04.000]   Testing, testing.
[00:00:04.000 --> 00:00:05.000]   Alex Lee, can you hear me?
[00:00:05.000 --> 00:00:12.500]   Ah, ah.
[00:00:12.500 --> 00:00:14.500]   Alex Koh, can you hear me?
[00:00:14.500 --> 00:00:17.000]   OK.
[00:00:17.000 --> 00:00:20.000]   Jamie Sabandi, can you hear me?
[00:00:20.000 --> 00:00:21.000]   Oh, great.
[00:00:21.000 --> 00:00:24.000]   All right.
[00:00:24.000 --> 00:00:27.000]   Let me pray for us, and then we'll
[00:00:27.000 --> 00:00:30.000]   get the teaching portion started.
[00:00:30.000 --> 00:00:36.000]   Father, there is so much in here.
[00:00:36.000 --> 00:00:44.000]   My fear is that it's going to be misrepresented.
[00:00:44.000 --> 00:00:51.000]   And so I pray that you would just guide and guard my lips
[00:00:51.000 --> 00:00:56.000]   so that your truths would just be indelibly
[00:00:56.000 --> 00:00:58.000]   etched onto our minds and our hearts
[00:00:58.000 --> 00:01:03.000]   so that we would apply appropriately.
[00:01:03.000 --> 00:01:09.000]   And so we pray for good feeding at this time
[00:01:09.000 --> 00:01:16.000]   and that you would just align our hearts toward your word
[00:01:16.000 --> 00:01:22.000]   and help us, Lord God, to both be in terror of your word
[00:01:22.000 --> 00:01:24.000]   but also to be so delighted by it
[00:01:24.000 --> 00:01:28.000]   that we coming back to this well for more.
[00:01:28.000 --> 00:01:32.000]   Thank you for the opportunity to just fellowship together
[00:01:32.000 --> 00:01:34.000]   through your word.
[00:01:34.000 --> 00:01:39.000]   We ask for your help to have ears that genuinely will hear.
[00:01:39.000 --> 00:01:42.000]   And Lord, open up our eyes to see the beautiful things
[00:01:42.000 --> 00:01:43.000]   in your law.
[00:01:43.000 --> 00:01:46.000]   In Jesus' name we pray.
[00:01:46.000 --> 00:01:50.000]   So as I mentioned last week, the flow of Galatians,
[00:01:50.000 --> 00:01:53.000]   there's three sections of it.
[00:01:53.000 --> 00:02:00.000]   And in almost every section, Paul is upset.
[00:02:00.000 --> 00:02:02.000]   And I want to show you this.
[00:02:02.000 --> 00:02:07.000]   And he's pretty sarcastic, it feels like, in English.
[00:02:07.000 --> 00:02:10.000]   So in Galatians 1.6, we're looking at him just appalled.
[00:02:10.000 --> 00:02:13.000]   I am amazed that you are so quickly deserting him
[00:02:13.000 --> 00:02:16.000]   who called you by the grace of Christ for a different gospel.
[00:02:16.000 --> 00:02:20.000]   And then in chapter 3, he goes, "You foolish Galatians,
[00:02:20.000 --> 00:02:25.000]   "you dummies, who has bewitched you before whose eyes
[00:02:25.000 --> 00:02:28.000]   "Jesus Christ was publicly portrayed as crucified?
[00:02:28.000 --> 00:02:31.000]   "Are you so foolish, having begun by the Spirit,
[00:02:31.000 --> 00:02:33.000]   "are you now being perfected by the flesh?"
[00:02:33.000 --> 00:02:36.000]   And then in chapter 5, just to make sure that they're not
[00:02:36.000 --> 00:02:41.000]   forgetting that he's still appalled at how they could switch.
[00:02:41.000 --> 00:02:47.000]   "You were running well, who hindered you
[00:02:47.000 --> 00:02:50.000]   "from obeying the truth?"
[00:02:50.000 --> 00:02:53.000]   So everything that Paul is saying, it's almost like a passive
[00:02:53.000 --> 00:02:56.000]   drifting into this.
[00:02:56.000 --> 00:02:59.000]   It's like they're being tricked, they're being obstructed,
[00:02:59.000 --> 00:03:05.000]   they're being hindered, and they are choosing, it appears,
[00:03:05.000 --> 00:03:08.000]   a different means to salvation.
[00:03:08.000 --> 00:03:12.000]   So there is a general tone of dismay that we're going to hit
[00:03:12.000 --> 00:03:16.000]   just in a couple months, and then in 2024 as well,
[00:03:16.000 --> 00:03:20.000]   because we study Galatians for a while.
[00:03:20.000 --> 00:03:22.000]   And so what's the desertion?
[00:03:22.000 --> 00:03:24.000]   What's the problem?
[00:03:24.000 --> 00:03:26.000]   Without fully understanding the specifics,
[00:03:26.000 --> 00:03:29.000]   here we have an insight into this.
[00:03:29.000 --> 00:03:32.000]   "You have been severed from Christ."
[00:03:32.000 --> 00:03:35.000]   That pops up into my head a bunch of different questions.
[00:03:35.000 --> 00:03:37.000]   Did they lose their salvation? Are they apostate?
[00:03:37.000 --> 00:03:40.000]   If they are apostate, how were they called by the grace of Christ?
[00:03:40.000 --> 00:03:43.000]   So I have all these questions already, but I'm not going to go into that
[00:03:43.000 --> 00:03:46.000]   until we get to chapter 5, and then we'll let Pastor Mark deal with this in February.
[00:03:46.000 --> 00:03:50.000]   So, "You've been severed from Christ,
[00:03:50.000 --> 00:03:54.000]   you who are seeking," and that's a very strong word,
[00:03:54.000 --> 00:03:57.000]   "to be justified by law.
[00:03:57.000 --> 00:04:01.000]   You have fallen from grace."
[00:04:01.000 --> 00:04:03.000]   So this is a problem.
[00:04:03.000 --> 00:04:08.000]   They have been seeking to be justified by man's efforts
[00:04:08.000 --> 00:04:13.000]   to live according to the law, and they've somehow fallen from grace.
[00:04:13.000 --> 00:04:17.000]   So this is the problem, and we can't unpack everything that this means,
[00:04:17.000 --> 00:04:20.000]   but here's the problem.
[00:04:20.000 --> 00:04:22.000]   And we looked at this last week.
[00:04:22.000 --> 00:04:24.000]   What is the gospel?
[00:04:24.000 --> 00:04:33.000]   It's basically news that sinful man can get with holy God.
[00:04:33.000 --> 00:04:36.000]   Basic definition, and I'm sure you guys wouldn't disagree with it.
[00:04:36.000 --> 00:04:40.000]   You might articulate it differently, but that's what it is, right?
[00:04:40.000 --> 00:04:45.000]   Holy, holy, holy God, we can have reconciliation.
[00:04:45.000 --> 00:04:46.000]   That's the gospel.
[00:04:46.000 --> 00:04:52.000]   There is a way, and it's extremely exclusive.
[00:04:52.000 --> 00:05:00.000]   If the Bible is the word of God, and there is only one way prescribed in it,
[00:05:00.000 --> 00:05:01.000]   it is what it is.
[00:05:01.000 --> 00:05:02.000]   It's exclusive.
[00:05:02.000 --> 00:05:04.000]   And this is what Paul Walsh says.
[00:05:04.000 --> 00:05:09.000]   The true gospel is radically exclusive.
[00:05:09.000 --> 00:05:12.000]   Jesus is not a way.
[00:05:12.000 --> 00:05:19.000]   He is the way, and all other ways are no way at all.
[00:05:19.000 --> 00:05:24.000]   He sounds like a Paul, because he is.
[00:05:24.000 --> 00:05:27.000]   But that's, in essence, what we believe.
[00:05:27.000 --> 00:05:32.000]   If you don't believe it, that means you actually are holding to a different faith altogether.
[00:05:32.000 --> 00:05:33.000]   But that's what the Bible teaches.
[00:05:33.000 --> 00:05:40.000]   There is only one way, and that one way is very specific, and that one way is very exact.
[00:05:40.000 --> 00:05:48.000]   Now, even in modern-day contexts, there's going to be a distortion of the gospel.
[00:05:48.000 --> 00:05:53.000]   It's not going to be a complete doing away with, right?
[00:05:53.000 --> 00:05:59.000]   Most heresies contain 90-plus percent truth.
[00:05:59.000 --> 00:06:01.000]   Does that make sense?
[00:06:01.000 --> 00:06:05.000]   Because if it was blatantly erroneous, no one would believe it.
[00:06:05.000 --> 00:06:14.000]   But most heretical teachings have a form of truth, but just a twisting of or distorting of its elements.
[00:06:14.000 --> 00:06:16.000]   And why is that the case?
[00:06:16.000 --> 00:06:23.000]   My question for this passage is, did the Galatians realize that they had deserted?
[00:06:23.000 --> 00:06:26.000]   They probably did not.
[00:06:26.000 --> 00:06:29.000]   So Paul is just having this very visceral reaction,
[00:06:29.000 --> 00:06:33.000]   but the Galatians probably are like, "What's the big deal? What are you--what?"
[00:06:33.000 --> 00:06:36.000]   Because the distortion, they didn't catch.
[00:06:36.000 --> 00:06:37.000]   Okay?
[00:06:37.000 --> 00:06:43.000]   So we have to get this right, but we have an adversary that wants us to get it wrong,
[00:06:43.000 --> 00:06:50.000]   not in whole, but just enough to cause you to be holding on to a different gospel.
[00:06:50.000 --> 00:06:55.000]   So John 8, 43, it describes a little bit of our adversary working through human means.
[00:06:55.000 --> 00:06:57.000]   Okay?
[00:06:57.000 --> 00:07:01.000]   This is Jesus. "Why do you not understand what I am saying?
[00:07:01.000 --> 00:07:06.000]   It is because, Pharisees, you cannot hear my word."
[00:07:06.000 --> 00:07:08.000]   And remember, these are religious people.
[00:07:08.000 --> 00:07:15.000]   "You are of your father the devil, and you want to do the desires of your father.
[00:07:15.000 --> 00:07:22.000]   He was a murderer from the beginning and does not stand in the truth because there is no truth in him.
[00:07:22.000 --> 00:07:27.000]   Whenever he speaks a lie, he speaks from his own nature.
[00:07:27.000 --> 00:07:31.000]   For Satan, he is a liar and the father of lies.
[00:07:31.000 --> 00:07:35.000]   But because I speak the truth, you do not believe me."
[00:07:35.000 --> 00:07:37.000]   And that's Jesus to the Pharisees.
[00:07:37.000 --> 00:07:41.000]   And here's an example in Genesis 3, verse 4.
[00:07:41.000 --> 00:07:45.000]   This is one of the first things out of his mouth to the woman.
[00:07:45.000 --> 00:07:49.000]   "The serpent said, 'You surely will not die.'"
[00:07:49.000 --> 00:08:01.000]   Not only did Eve die, she caused death to be part of every woman, every man, for forever.
[00:08:01.000 --> 00:08:05.000]   Right? Okay?
[00:08:05.000 --> 00:08:17.000]   So Satan uses corrupt, distorted man to propagate lies.
[00:08:17.000 --> 00:08:19.000]   He's always done that.
[00:08:19.000 --> 00:08:24.000]   And so this agency of man is a very important topic, especially in chapter 1.
[00:08:24.000 --> 00:08:25.000]   Okay?
[00:08:25.000 --> 00:08:31.000]   And I want to highlight some of the verses that we're touching upon either this week or next.
[00:08:31.000 --> 00:08:37.000]   Paul, an apostle, not sent from men, nor through the agency of man.
[00:08:37.000 --> 00:08:39.000]   Verse 9 through 10.
[00:08:39.000 --> 00:08:45.000]   "If any man is preaching to you a gospel contrary to what you receive, he is to be accursed.
[00:08:45.000 --> 00:08:49.000]   For am I now seeking the favor of men or of God?
[00:08:49.000 --> 00:08:51.000]   Or am I striving to please men?
[00:08:51.000 --> 00:08:55.000]   If I were still trying to please men, I would not be a bondservant of Christ."
[00:08:55.000 --> 00:09:04.000]   Continuing, "For I would have you know, brothers, that the gospel which was preached by me is not according to man.
[00:09:04.000 --> 00:09:09.000]   I neither received it from man, nor was I taught it, but I received it through revelation of Jesus Christ."
[00:09:09.000 --> 00:09:16.000]   And later on, Paul says, "I did not immediately consult with man, flesh and blood."
[00:09:16.000 --> 00:09:18.000]   Okay?
[00:09:18.000 --> 00:09:27.000]   So, Paul is basically pointing to a fact that there is God's way,
[00:09:27.000 --> 00:09:37.000]   and there is a corrupt, polluted, perverted way that man tries to hold on to to access God.
[00:09:37.000 --> 00:09:43.000]   And that is not God's prescribed way.
[00:09:43.000 --> 00:09:44.000]   Okay?
[00:09:44.000 --> 00:09:50.000]   And I want to emotionally help us feel this by walking you through a very familiar illustration.
[00:09:50.000 --> 00:09:55.000]   I bring this up at least once a semester because I love this.
[00:09:55.000 --> 00:10:00.000]   Not the mosquito, I love the image that we can kind of think through.
[00:10:00.000 --> 00:10:02.000]   Okay?
[00:10:02.000 --> 00:10:06.000]   What's on the left?
[00:10:06.000 --> 00:10:09.000]   Who has one as a pet?
[00:10:09.000 --> 00:10:15.000]   Kylie. Okay, she's--that's weird. Okay?
[00:10:15.000 --> 00:10:20.000]   Does--do you know anybody that has compassion on the mosquito?
[00:10:20.000 --> 00:10:23.000]   Anybody?
[00:10:23.000 --> 00:10:30.000]   If I were to see a mosquito here and go, "Bah!" in front of all of you,
[00:10:30.000 --> 00:10:35.000]   would any of you report me to the authorities?
[00:10:35.000 --> 00:10:37.000]   No.
[00:10:37.000 --> 00:10:42.000]   Why? Because this mosquito has no worth.
[00:10:42.000 --> 00:10:44.000]   Right?
[00:10:44.000 --> 00:10:46.000]   If anything, it's a negative thing.
[00:10:46.000 --> 00:10:51.000]   If we were living in an area with malaria, dengue, and Zika,
[00:10:51.000 --> 00:10:54.000]   you would applaud me for doing this.
[00:10:54.000 --> 00:10:56.000]   True or false?
[00:10:56.000 --> 00:11:06.000]   If I said, "Guys, there are mosquitoes in here, and they have dengue, malaria, and Zika.
[00:11:06.000 --> 00:11:11.000]   Before we start Bible study, let's hunt and kill as many as we can."
[00:11:11.000 --> 00:11:14.000]   You guys would not disagree. You guys actually would join the hunt.
[00:11:14.000 --> 00:11:16.000]   True or false?
[00:11:16.000 --> 00:11:17.000]   True.
[00:11:17.000 --> 00:11:21.000]   If we saw--they're called pupas, all right?
[00:11:21.000 --> 00:11:27.000]   This floor covered with pupas, these mosquito larvae,
[00:11:27.000 --> 00:11:32.000]   that are going to grow up to be bloodsuckers.
[00:11:32.000 --> 00:11:36.000]   I took a blowtorch, and I just went, "Hhh!"
[00:11:36.000 --> 00:11:40.000]   Would you guys applaud that, or would you hate me for it?
[00:11:40.000 --> 00:11:42.000]   You would applaud it.
[00:11:42.000 --> 00:11:49.000]   No one in their right mind would catch and release the mosquito.
[00:11:49.000 --> 00:11:51.000]   Right?
[00:11:51.000 --> 00:11:57.000]   You're like, "But I love all living things. Everything that's been created by the Lord is beautiful.
[00:11:57.000 --> 00:12:01.000]   It has value. Pastor Peter, here, let me grab it.
[00:12:01.000 --> 00:12:03.000]   Let me let it go."
[00:12:03.000 --> 00:12:05.000]   Nobody would do that.
[00:12:05.000 --> 00:12:11.000]   If you did that, people would turn on you.
[00:12:11.000 --> 00:12:17.000]   But what grace is, is you're not only catching the mosquito,
[00:12:17.000 --> 00:12:20.000]   and you're not killing it,
[00:12:20.000 --> 00:12:24.000]   you're going to adopt it as your child.
[00:12:24.000 --> 00:12:30.000]   Treat it like an equal to your kid, if you're a parent.
[00:12:30.000 --> 00:12:33.000]   You're going to let it sleep in your house,
[00:12:33.000 --> 00:12:37.000]   in its own room, with its own inheritance.
[00:12:37.000 --> 00:12:41.000]   You might give it a rat as a buffet. Whatever it is.
[00:12:41.000 --> 00:12:45.000]   You will open up an account, which seems absurd,
[00:12:45.000 --> 00:12:48.000]   and save your 529 for this little thing.
[00:12:48.000 --> 00:12:51.000]   That is grace.
[00:12:51.000 --> 00:12:55.000]   Now, here's my question. You guys have heard all of this up to this point before.
[00:12:55.000 --> 00:12:59.000]   What can a mosquito do
[00:12:59.000 --> 00:13:05.000]   to ever convince you not to kill it?
[00:13:05.000 --> 00:13:08.000]   Let's say it comes up to you and lands on your hand,
[00:13:08.000 --> 00:13:10.000]   and does a little bit of, like, "Hello!"
[00:13:10.000 --> 00:13:13.000]   Would that convince you not to kill it?
[00:13:13.000 --> 00:13:16.000]   Would four mosquitoes landing,
[00:13:16.000 --> 00:13:18.000]   and they make a little letter saying,
[00:13:18.000 --> 00:13:21.000]   "Peace be with you," in little words,
[00:13:21.000 --> 00:13:25.000]   would that prevent you from killing it?
[00:13:25.000 --> 00:13:27.000]   What if it landed on you,
[00:13:27.000 --> 00:13:30.000]   and looked up with its needle nose,
[00:13:30.000 --> 00:13:32.000]   and said, "Hi!"
[00:13:32.000 --> 00:13:36.000]   Would that arouse compassion in you?
[00:13:36.000 --> 00:13:41.000]   Would any behavior of the mosquito
[00:13:41.000 --> 00:13:46.000]   ever cause you not to kill it?
[00:13:46.000 --> 00:13:50.000]   No!
[00:13:50.000 --> 00:13:53.000]   It would be absolutely absurd of you
[00:13:53.000 --> 00:13:56.000]   to entertain the thought
[00:13:56.000 --> 00:13:59.000]   that, "Oh, just because it did a little dance."
[00:13:59.000 --> 00:14:02.000]   Or, "What if it brings you a little cauliflower?"
[00:14:02.000 --> 00:14:04.000]   Not a cauliflower. The dandelion.
[00:14:04.000 --> 00:14:08.000]   "What if it brings you a flower?"
[00:14:08.000 --> 00:14:11.000]   Would you kill it still?
[00:14:11.000 --> 00:14:16.000]   And you wouldn't think of it at all.
[00:14:16.000 --> 00:14:19.000]   But here's the problem with sinful man.
[00:14:19.000 --> 00:14:24.000]   Satan has convinced sinful man
[00:14:24.000 --> 00:14:27.000]   that the distance between me and God
[00:14:27.000 --> 00:14:29.000]   is way closer than the distance
[00:14:29.000 --> 00:14:32.000]   between me and the mosquito.
[00:14:32.000 --> 00:14:36.000]   Sinful man believes that I have more in common
[00:14:36.000 --> 00:14:40.000]   with God than I do to this mosquito.
[00:14:40.000 --> 00:14:43.000]   Are you guys tracking?
[00:14:43.000 --> 00:14:46.000]   The chasm between me and God
[00:14:46.000 --> 00:14:50.000]   is exponentially greater than me and this mosquito.
[00:14:50.000 --> 00:14:52.000]   So for sinful man to say,
[00:14:52.000 --> 00:14:56.000]   "I can do something to curry favor
[00:14:56.000 --> 00:14:59.000]   with holy, holy, holy God,"
[00:14:59.000 --> 00:15:06.000]   is an offense.
[00:15:06.000 --> 00:15:09.000]   What God did in the history of humanity
[00:15:09.000 --> 00:15:11.000]   is He took this whole floor
[00:15:11.000 --> 00:15:13.000]   is covered with mosquitoes.
[00:15:13.000 --> 00:15:17.000]   He decided to take a corner and call it His own.
[00:15:17.000 --> 00:15:19.000]   Absurd.
[00:15:19.000 --> 00:15:22.000]   And He didn't just choose not to wipe out
[00:15:22.000 --> 00:15:24.000]   that little corner of mosquitoes.
[00:15:24.000 --> 00:15:26.000]   He chose to call them His own.
[00:15:26.000 --> 00:15:29.000]   "I will be like a mother to you."
[00:15:29.000 --> 00:15:32.000]   What?
