
[00:00:00.000 --> 00:00:14.960]   th
[00:00:14.960 --> 00:00:18.540]   -th
[00:00:18.540 --> 00:00:21.960]   -th
[00:00:21.960 --> 00:00:45.600]   [ Background Conversations ]
[00:00:45.600 --> 00:00:46.420]   All right.
[00:00:46.960 --> 00:00:58.820]   [ Background Conversations ]
[00:00:58.820 --> 00:00:59.540]   All right.
[00:00:59.540 --> 00:01:04.620]   If I can ask you guys to join me in a quick word of prayer.
[00:01:04.620 --> 00:01:10.460]   Let me pray for us.
[00:01:14.840 --> 00:01:19.340]   Father, thank you for just allowing us to share in a time
[00:01:19.340 --> 00:01:22.600]   of discussion and observation.
[00:01:22.600 --> 00:01:27.120]   And with a meaty passage like this, it's difficult
[00:01:27.120 --> 00:01:32.600]   to know exactly what to target, what to hit, what to go over.
[00:01:32.600 --> 00:01:36.900]   So I pray, Father, for every single one of us
[00:01:36.900 --> 00:01:41.260]   that you would cause us to leave here just wanting
[00:01:41.260 --> 00:01:42.760]   to study your word more.
[00:01:44.300 --> 00:01:47.160]   And I pray simply that whatever we talk
[00:01:47.160 --> 00:01:49.040]   about in the next several moments,
[00:01:49.040 --> 00:01:52.160]   it would just whet our appetites.
[00:01:52.160 --> 00:01:59.100]   And I pray, Father, that you would help me just communicate
[00:01:59.100 --> 00:02:02.000]   and articulate clearly.
[00:02:02.000 --> 00:02:06.640]   And so we pray for your help just to be eager learners
[00:02:06.640 --> 00:02:07.840]   and eager students of the word.
[00:02:07.840 --> 00:02:09.420]   And pray all this in Jesus' name.
[00:02:09.420 --> 00:02:13.360]   Amen. Just by way of review,
[00:02:13.660 --> 00:02:17.240]   this is what we've covered so far.
[00:02:17.240 --> 00:02:21.600]   Okay? Why are we saved?
[00:02:21.600 --> 00:02:31.120]   Faith, works, beliefs, my family, my religion, my tradition,
[00:02:31.120 --> 00:02:34.820]   my outward obedience, that's not what saves us.
[00:02:34.820 --> 00:02:37.680]   It's 100% by the grace of God.
[00:02:37.680 --> 00:02:41.900]   And that's what we looked at over the last two weeks, right?
[00:02:42.720 --> 00:02:50.340]   Dr. Martin Lloyd-Jones, he writes, "I am a Christian solely
[00:02:50.340 --> 00:02:54.900]   and entirely because of the grace of God and not
[00:02:54.900 --> 00:02:59.160]   because of anything that I have thought or said or done."
[00:02:59.160 --> 00:03:02.620]   So his quote is pretty much the graphs here,
[00:03:02.620 --> 00:03:04.460]   just in a verbal form.
[00:03:04.460 --> 00:03:10.040]   Okay? In the next five sessions, in the next almost
[00:03:10.040 --> 00:03:13.940]   to November 1st, we're looking at just these two chapters.
[00:03:13.940 --> 00:03:18.560]   Okay? The meaty theology is going to be, you're going
[00:03:18.560 --> 00:03:20.220]   to see it in chapter three and four,
[00:03:20.220 --> 00:03:22.580]   but this is all setting up for it.
[00:03:22.580 --> 00:03:24.060]   And there's going to be a lot of questions
[00:03:24.060 --> 00:03:25.100]   that are in your minds.
[00:03:25.100 --> 00:03:30.380]   Okay? So here's the thesis in verse 11 to 12.
[00:03:30.380 --> 00:03:34.000]   Okay? Paul's main point in all of this is,
[00:03:34.000 --> 00:03:37.900]   "The gospel is not of man, it is completely of God."
[00:03:38.900 --> 00:03:41.680]   And that's something just to kind of regularly remember
[00:03:41.680 --> 00:03:45.000]   as we're getting into the thick of all of the details.
[00:03:45.000 --> 00:03:47.800]   The main thrust of this is going to be,
[00:03:47.800 --> 00:03:51.880]   "The gospel is not of man, it is completely of God."
[00:03:51.880 --> 00:03:56.400]   And today, we're looking at just God converting Paul
[00:03:56.400 --> 00:03:59.700]   from persecutor of the church to the preacher of the gospel.
[00:03:59.700 --> 00:04:01.020]   So he gives that account.
[00:04:01.020 --> 00:04:03.920]   In two weeks, we're going to be looking
[00:04:03.920 --> 00:04:08.200]   at Paul's first encounters with the apostles of Christ's church.
[00:04:08.520 --> 00:04:12.760]   And then we're going to spend two weeks in verses 1 through 10
[00:04:12.760 --> 00:04:16.760]   where he actually meets with the apostles, okay, and has a summit.
[00:04:16.760 --> 00:04:20.880]   And then 11 to 21, it can be pretty confusing.
[00:04:20.880 --> 00:04:22.120]   You're like, "What is going on here?"
[00:04:22.120 --> 00:04:26.980]   Right? Paul confronts Cephas to his face
[00:04:26.980 --> 00:04:30.300]   and actually uses the word, "He stood condemned."
[00:04:30.300 --> 00:04:34.900]   That's a pretty strong words to the apostle upon whom the church
[00:04:34.900 --> 00:04:35.500]   has been built.
[00:04:36.000 --> 00:04:39.060]   Right? So this is what we're going to be looking through
[00:04:39.060 --> 00:04:42.940]   over the next five sessions up until November 1st.
[00:04:42.940 --> 00:04:46.200]   And I want to take a look at the thesis first.
[00:04:46.200 --> 00:04:51.320]   Galatians 1, 11 to 12, "For I would have you know, brethren,
[00:04:51.320 --> 00:04:54.360]   that the gospel which was preached by me is not according
[00:04:54.360 --> 00:04:58.280]   to man, for I neither received it from man nor was I taught it,
[00:04:58.280 --> 00:05:01.200]   but I received it through a revelation of Jesus Christ."
[00:05:01.200 --> 00:05:03.540]   And here are going to be some overarching,
[00:05:03.540 --> 00:05:05.860]   uncomfortable questions that we're going
[00:05:05.860 --> 00:05:09.280]   to have a hard time answering that we're going to be wrestling
[00:05:09.280 --> 00:05:11.140]   with over the next two chapters.
[00:05:11.140 --> 00:05:12.560]   Okay? The first one is,
[00:05:12.560 --> 00:05:16.280]   "What makes Paul's direct revelations credible?"
[00:05:16.280 --> 00:05:19.840]   Why isn't like a Joseph Smith's revelation
[00:05:19.840 --> 00:05:22.860]   that he got directly from God, why is that not credible?
[00:05:22.860 --> 00:05:27.200]   Like, is Paul going rogue here?
[00:05:27.200 --> 00:05:28.280]   Is he Lone Ranger?
[00:05:28.280 --> 00:05:29.120]   Is that okay?
[00:05:30.400 --> 00:05:33.500]   Okay? And is he acting alone?
[00:05:33.500 --> 00:05:37.920]   Or is he actually going to Jerusalem to confer?
[00:05:37.920 --> 00:05:39.820]   But then what's going on?
[00:05:39.820 --> 00:05:42.400]   So that's a weird, uncomfortable question that's going
[00:05:42.400 --> 00:05:45.040]   to be a little bit challenging to articulate an answer for.
[00:05:45.040 --> 00:05:49.480]   Secondly, "Did Paul really need no confirmation or affirmation
[00:05:49.480 --> 00:05:50.400]   from the other apostles?"
[00:05:50.400 --> 00:05:52.020]   Paul uses some strong language.
[00:05:52.020 --> 00:05:54.080]   "Those men added nothing."
[00:05:54.080 --> 00:05:59.000]   Jeez. So he's pretty like brazen.
[00:06:00.160 --> 00:06:04.240]   Okay? And then in verse 11, he starts out by saying,
[00:06:04.240 --> 00:06:07.520]   "You know, I opposed Cephas to his face.
[00:06:07.520 --> 00:06:08.940]   He stood condemned."
[00:06:08.940 --> 00:06:11.440]   What is that?
[00:06:11.440 --> 00:06:14.680]   So these are going to be uncomfortable questions
[00:06:14.680 --> 00:06:17.960]   that I probably will not satisfactorily be able
[00:06:17.960 --> 00:06:20.860]   to answer for you, but that's going to be kind of percolating
[00:06:20.860 --> 00:06:23.240]   and just bothering you.
[00:06:23.240 --> 00:06:24.520]   So it's okay.
[00:06:24.520 --> 00:06:25.420]   All right?
[00:06:25.420 --> 00:06:28.180]   So when I get to this chapter or this passage,
[00:06:29.920 --> 00:06:32.960]   the first thing I try to do with this is just memorize it
[00:06:32.960 --> 00:06:36.300]   and just let it just go through my head.
[00:06:36.300 --> 00:06:39.760]   Okay? And then after I memorize it,
[00:06:39.760 --> 00:06:41.520]   I actually will map it out.
[00:06:41.520 --> 00:06:45.120]   Okay? So this is how I mapped out this section.
[00:06:45.120 --> 00:06:49.400]   So anything that was related to the gospel, I had a lot more
[00:06:49.400 --> 00:06:51.620]   in the previous Bible studies, I would do it in blue.
[00:06:51.620 --> 00:06:55.400]   And there's this duality of like the agency of man,
[00:06:55.400 --> 00:06:57.900]   the agency of God, and whatever is touched upon,
[00:06:58.080 --> 00:07:00.660]   whenever Paul touches upon one of those two things,
[00:07:00.660 --> 00:07:02.360]   I just highlighted it in the green.
[00:07:02.360 --> 00:07:06.300]   Okay? Hopefully you guys can kind of see that.
[00:07:06.300 --> 00:07:11.900]   And then anything related to Judaism, circumcision, Israel,
[00:07:11.900 --> 00:07:13.740]   I did this, I tried to do this for the whole,
[00:07:13.740 --> 00:07:15.660]   the all six chapters.
[00:07:15.660 --> 00:07:17.940]   Okay? I would just highlight it in yellow.
[00:07:17.940 --> 00:07:20.780]   Things related to election, salvation,
[00:07:20.780 --> 00:07:22.980]   or calling in the gray.
[00:07:23.520 --> 00:07:30.940]   And then important grammatical words or like trigger words,
[00:07:30.940 --> 00:07:33.140]   I highlighted that in the red.
[00:07:33.140 --> 00:07:35.440]   So the first part, the for I would have you know,
[00:07:35.440 --> 00:07:37.560]   that's almost like Paul saying,
[00:07:37.560 --> 00:07:39.680]   let me make something very, very clear to you.
[00:07:39.680 --> 00:07:41.420]   That's kind of a figure of speech.
[00:07:41.420 --> 00:07:43.160]   So I highlighted that in the red.
[00:07:43.160 --> 00:07:48.760]   And then after this entire like testimony of who Paul was,
[00:07:48.760 --> 00:07:50.980]   he says, but when God.
[00:07:50.980 --> 00:07:52.500]   So that's actually pretty important
[00:07:52.960 --> 00:07:54.740]   because you're seeing a changed man.
[00:07:54.740 --> 00:07:56.180]   Okay?
[00:07:56.180 --> 00:08:03.060]   And then Jesus reveals, or God reveals his son to Paul,
[00:08:03.060 --> 00:08:07.660]   so that, the word so that in the Bible is very important
