
[00:00:00.000 --> 00:00:07.000]   [silence]
[00:00:07.000 --> 00:00:09.000]   [music]
[00:00:09.000 --> 00:00:11.000]   [music]
[00:00:11.000 --> 00:00:13.000]   [music]
[00:00:13.000 --> 00:00:15.580]   (gentle music)
[00:00:15.580 --> 00:00:19.000]   (gentle music continues)
[00:00:19.000 --> 00:00:22.420]   (gentle music continues)
[00:00:22.420 --> 00:00:25.840]   (gentle music continues)
[00:00:25.840 --> 00:00:29.260]   (gentle music continues)
[00:00:29.480 --> 00:00:32.900]   (gentle music continues)
[00:00:32.900 --> 00:00:36.320]   (gentle music continues)
[00:00:36.420 --> 00:00:39.840]   (gentle music continues)
[00:00:39.840 --> 00:00:43.260]   (gentle music continues)
[00:00:43.260 --> 00:00:47.680]   (gentle music continues)
[00:00:47.680 --> 00:00:52.600]   (gentle music continues)
[00:00:52.600 --> 00:00:57.180]   (gentle music continues)
[00:00:57.180 --> 00:01:02.020]   (gentle music continues)
[00:01:02.020 --> 00:01:06.940]   (gentle music continues)
[00:01:08.440 --> 00:01:11.860]   (gentle music continues)
[00:01:11.860 --> 00:01:21.480]   (gentle music continues)
[00:01:21.480 --> 00:01:27.060]   (gentle music continues)
[00:01:27.060 --> 00:01:33.860]   (gentle music continues)
[00:01:35.980 --> 00:01:39.400]   (gentle music continues)
[00:01:39.400 --> 00:01:51.820]   (gentle music continues)
[00:01:51.820 --> 00:02:02.180]   - All right, good morning, church family.
[00:02:02.180 --> 00:02:03.020]   Happy Lord's Day.
[00:02:03.020 --> 00:02:04.860]   Hope you had a good week in the Lord.
[00:02:04.860 --> 00:02:07.220]   This morning, I'm gonna read from Psalm 100,
[00:02:07.220 --> 00:02:08.300]   verses four and five.
[00:02:08.300 --> 00:02:13.660]   Enter his gates with thanksgiving
[00:02:13.660 --> 00:02:15.700]   and his courts with praise.
[00:02:15.700 --> 00:02:18.300]   Give thanks to him, bless his name.
[00:02:18.300 --> 00:02:19.740]   For the Lord is good,
[00:02:19.740 --> 00:02:22.300]   his loving kindness is everlasting,
[00:02:22.300 --> 00:02:24.580]   and his faithfulness to all generations.
[00:02:24.580 --> 00:02:27.860]   And with that, let us give thanks and bless the Lord.
[00:02:27.860 --> 00:02:32.820]   (gentle music)
[00:02:32.820 --> 00:02:36.240]   (gentle music continues)
[00:02:36.240 --> 00:02:46.660]   ♪ Bless the Lord, O my soul ♪
[00:02:46.660 --> 00:02:49.860]   ♪ O my soul ♪
[00:02:49.860 --> 00:02:54.860]   ♪ Worship his holy name ♪
[00:02:54.860 --> 00:02:59.780]   ♪ Sing like never before ♪
[00:02:59.780 --> 00:03:04.620]   ♪ O my soul, I'll worship your holy name ♪
[00:03:04.620 --> 00:03:17.660]   ♪ The sun comes up, it's a new day dawning ♪
[00:03:17.660 --> 00:03:24.940]   ♪ It's time to sing your song again ♪
[00:03:25.620 --> 00:03:30.620]   ♪ Whatever may pass and whatever lies before me ♪
[00:03:30.620 --> 00:03:39.700]   ♪ Let me be saved with the evening cry ♪
[00:03:39.700 --> 00:03:49.060]   ♪ Bless the Lord, O my soul ♪
[00:03:49.060 --> 00:03:52.340]   ♪ O my soul ♪
[00:03:52.340 --> 00:03:57.340]   ♪ Worship his holy name ♪
[00:03:57.340 --> 00:04:02.260]   ♪ Sing like never before ♪
[00:04:02.260 --> 00:04:07.180]   ♪ O my soul, I'll worship your holy name ♪
[00:04:07.180 --> 00:04:15.380]   ♪ You're rich in love ♪
[00:04:15.380 --> 00:04:20.380]   ♪ Rich in love and you're slow to anger ♪
[00:04:21.380 --> 00:04:26.380]   ♪ Your name is great and your heart is kind ♪
[00:04:26.380 --> 00:04:32.420]   ♪ For all your goodness I will keep on singing ♪
[00:04:32.420 --> 00:04:41.380]   ♪ 10,000 reasons for my heart to find ♪
[00:04:41.380 --> 00:04:47.460]   ♪ Bless the Lord, O my soul ♪
[00:04:47.460 --> 00:04:50.860]   ♪ O my soul ♪
[00:04:50.860 --> 00:04:55.860]   ♪ Worship his holy name ♪
[00:04:55.860 --> 00:05:00.780]   ♪ Sing like never before ♪
[00:05:00.780 --> 00:05:05.780]   ♪ O my soul, I'll worship your holy name ♪
[00:05:05.780 --> 00:05:08.540]   ♪ Your holy name ♪
[00:05:35.020 --> 00:05:37.380]   ♪ On that day ♪
[00:05:37.380 --> 00:05:42.380]   ♪ And on that day when my strength is failing ♪
[00:05:42.380 --> 00:05:49.740]   ♪ The end draws near and my time has come ♪
[00:05:49.740 --> 00:05:55.700]   ♪ Still my soul will sing your praise unending ♪
[00:05:55.700 --> 00:06:04.420]   ♪ 10,000 years and then forever ♪
[00:06:05.260 --> 00:06:09.620]   ♪ Forevermore ♪
[00:06:09.620 --> 00:06:13.620]   ♪ Bless the Lord, O my soul ♪
[00:06:13.620 --> 00:06:16.940]   ♪ O my soul ♪
[00:06:16.940 --> 00:06:21.940]   ♪ Worship his holy name ♪
[00:06:21.940 --> 00:06:26.780]   ♪ Sing like never before ♪
[00:06:26.780 --> 00:06:31.780]   ♪ O my soul, I'll worship your holy name ♪
[00:06:33.780 --> 00:06:35.940]   ♪ Bless the Lord ♪
[00:06:35.940 --> 00:06:39.940]   ♪ Bless the Lord, O my soul ♪
[00:06:39.940 --> 00:06:43.260]   ♪ O my soul ♪
[00:06:43.260 --> 00:06:48.260]   ♪ Worship his holy name ♪
