
[00:00:00.000 --> 00:00:05.720]   Let's gather into our tables take our seats and we'll pray to get ready for tonight's Bible study
[00:00:05.720 --> 00:00:14.680]   All right, please join with me in a word of prayer
[00:00:14.680 --> 00:00:22.360]   Heavenly Father we are so grateful to you God. We're so grateful that you make our gathering possible
[00:00:22.360 --> 00:00:25.980]   you're the one and the reason why we join together and
[00:00:26.320 --> 00:00:30.900]   Lord God by the word that you provide the spirit you provide and the gospel you've provided
[00:00:30.900 --> 00:00:33.320]   We are able to have fellowship in this way
[00:00:33.320 --> 00:00:37.040]   we recognize God what a privilege it is to be able to have a
[00:00:37.040 --> 00:00:43.360]   United body and we again want to thank you for making it all possible according to your grace
[00:00:43.360 --> 00:00:46.080]   It is also our prayer that as we join together
[00:00:46.080 --> 00:00:51.880]   It's that as you're the one making it possible Lord that it is pleasing in your sight
[00:00:51.880 --> 00:00:56.880]   I ask God then that you would continue just to sanctify each and every single one of us
[00:00:56.880 --> 00:00:59.080]   cause our
[00:00:59.080 --> 00:01:06.320]   Theology our faith to be so full with the content of Christ cause our spirit to be so eager to worship
[00:01:06.320 --> 00:01:09.720]   To give you praise to learn of your word and grow
[00:01:09.720 --> 00:01:14.040]   that God the content of our faith and the attitude of our hearts would be
[00:01:14.040 --> 00:01:19.440]   Truly the sacrifice you desire to see and now Lord as we join in with our voices. We do pray
[00:01:19.960 --> 00:01:25.400]   God that again you'd be honored and that we would be blessed throughout this Bible study. We thank you in Christ's name. Amen
[00:01:25.400 --> 00:01:27.400]   [Silence]
[00:01:27.400 --> 00:01:51.400]   [Silence]
[00:01:52.400 --> 00:02:10.400]   [Music]
[00:02:10.400 --> 00:02:16.400]   I will trust my Savior Jesus
[00:02:16.400 --> 00:02:20.400]   When my darkest doubts befall
[00:02:21.400 --> 00:02:26.400]   Trust Him when to simply trust Him
[00:02:26.400 --> 00:02:31.400]   Seems the hardest thing of all
[00:02:31.400 --> 00:02:39.400]   [Music]
[00:02:39.400 --> 00:02:44.400]   I will trust my Savior Jesus
[00:02:44.400 --> 00:02:49.400]   Trust Him when my strength is small
[00:02:49.400 --> 00:02:54.400]   For I know the shield of Jesus
[00:02:54.400 --> 00:02:59.400]   Is the safest place of all
[00:02:59.400 --> 00:03:05.400]   Jesus, only Jesus
[00:03:05.400 --> 00:03:10.400]   Help me trust you more and more
[00:03:10.400 --> 00:03:15.400]   Jesus, only Jesus
[00:03:15.400 --> 00:03:20.400]   May my heart be ever yours
[00:03:20.400 --> 00:03:23.400]   [Music]
[00:03:23.400 --> 00:03:28.400]   I will trust my Savior Jesus
[00:03:28.400 --> 00:03:33.400]   He has said His way is best
[00:03:33.400 --> 00:03:38.400]   And I know the path He's chosen
[00:03:38.400 --> 00:03:43.400]   Leads to everlasting rest
[00:03:43.400 --> 00:03:49.400]   Jesus, only Jesus
[00:03:49.400 --> 00:03:54.400]   Help me trust you more and more
[00:03:54.400 --> 00:03:59.400]   Jesus, only Jesus
[00:03:59.400 --> 00:04:04.400]   May my heart be ever yours
[00:04:04.400 --> 00:04:27.400]   [Music]
[00:04:27.400 --> 00:04:29.400]   Pour on that cross
[00:04:29.400 --> 00:04:34.400]   Pour on that cross
[00:04:34.400 --> 00:04:39.400]   How it was seen
[00:04:39.400 --> 00:04:44.400]   I can go now ever trusting
[00:04:44.400 --> 00:04:50.400]   In the one who died for me
[00:04:50.400 --> 00:04:55.400]   What can I bring
[00:04:55.400 --> 00:05:00.400]   For your gift is complete
[00:05:00.400 --> 00:05:05.400]   So I trust you, simply trust you
[00:05:05.400 --> 00:05:11.400]   Lord with every part of me
[00:05:11.400 --> 00:05:16.400]   Pour on that cross
[00:05:16.400 --> 00:05:21.400]   How it was seen
[00:05:21.400 --> 00:05:26.400]   I can go now ever trusting
[00:05:26.400 --> 00:05:32.400]   In the one who died for me
[00:05:32.400 --> 00:05:37.400]   What can I bring
[00:05:37.400 --> 00:05:42.400]   For your gift is complete
[00:05:42.400 --> 00:05:47.400]   So I trust you, simply trust you
[00:05:47.400 --> 00:05:52.400]   Lord with every part of me
[00:05:52.400 --> 00:05:56.400]   [Music]
[00:05:56.400 --> 00:06:00.400]   Jesus, only Jesus
[00:06:00.400 --> 00:06:06.400]   Help me trust you more and more
[00:06:06.400 --> 00:06:11.400]   Jesus, only Jesus
[00:06:11.400 --> 00:06:17.400]   May my heart be ever yours
[00:06:17.400 --> 00:06:22.400]   Jesus, only Jesus
[00:06:22.400 --> 00:06:28.400]   Help me trust you more and more
[00:06:28.400 --> 00:06:33.400]   Jesus, only Jesus
[00:06:33.400 --> 00:06:39.400]   May my heart be ever yours
[00:06:39.400 --> 00:06:49.400]   [Music]
[00:06:49.400 --> 00:06:56.400]   The splendor of the King
[00:06:56.400 --> 00:07:01.400]   Clothed in majesty
[00:07:01.400 --> 00:07:04.400]   Let all the earth rejoice
[00:07:04.400 --> 00:07:08.400]   All the earth rejoice
[00:07:08.400 --> 00:07:16.400]   He wraps himself in light
[00:07:16.400 --> 00:07:21.400]   Darkness tries to hide
[00:07:21.400 --> 00:07:24.400]   Trembles at his voice
[00:07:24.400 --> 00:07:29.400]   Trembles at his voice
[00:07:29.400 --> 00:07:34.400]   How great is our God
[00:07:34.400 --> 00:07:41.400]   Sing with me how great is our God
[00:07:41.400 --> 00:07:45.400]   And all will see how great
[00:07:45.400 --> 00:07:53.400]   How great is our God
[00:07:53.400 --> 00:08:02.400]   Age to age, age to age he stands
[00:08:02.400 --> 00:08:07.400]   Time is in his hands
[00:08:07.400 --> 00:08:15.400]   Beginning and the end, beginning and the end
[00:08:15.400 --> 00:08:22.400]   The Godhead, three in one
