
[00:00:00.000 --> 00:00:18.480]   [MUSIC PLAYING]
[00:00:18.480 --> 00:00:19.920]   Please welcome Tandis.
[00:00:19.920 --> 00:00:20.640]   Hi, everyone.
[00:00:20.640 --> 00:00:26.560]   [APPLAUSE]
[00:00:26.560 --> 00:00:29.800]   So what I want to talk about today
[00:00:29.800 --> 00:00:32.680]   is the problem that I'm obsessed with, which is bad customer
[00:00:32.680 --> 00:00:34.400]   service in health care.
[00:00:34.400 --> 00:00:36.680]   So I'd like to start out by walking you
[00:00:36.680 --> 00:00:38.840]   through a day at the doctor's office.
[00:00:38.840 --> 00:00:42.040]   It can look a little bit like this.
[00:00:42.040 --> 00:00:43.960]   You have to start out by making an appointment.
[00:00:43.960 --> 00:00:45.160]   So you call in.
[00:00:45.160 --> 00:00:47.920]   You talk to someone very unpleasant on the phone.
[00:00:47.920 --> 00:00:49.880]   They put you on hold.
[00:00:49.880 --> 00:00:50.380]   You wait.
[00:00:50.380 --> 00:00:51.560]   There's bad hold music.
[00:00:51.560 --> 00:00:52.120]   You're waiting.
[00:00:52.120 --> 00:00:52.900]   You're waiting.
[00:00:52.900 --> 00:00:54.240]   They come back.
[00:00:54.240 --> 00:00:56.840]   You go back and forth a little bit on your calendars.
[00:00:56.840 --> 00:00:57.800]   You get an appointment.
[00:00:57.800 --> 00:01:00.480]   It's in 21 days.
[00:01:00.480 --> 00:01:02.840]   Now it's 21 days later.
[00:01:02.840 --> 00:01:04.400]   You go to the doctor's office.
[00:01:04.400 --> 00:01:06.740]   Someone very unpleasant checks you in at the front desk.
[00:01:06.740 --> 00:01:07.840]   You sit down.
[00:01:07.840 --> 00:01:11.400]   Super depressing waiting room, bad wall art,
[00:01:11.400 --> 00:01:14.600]   very old issues of Parenting Magazine,
[00:01:14.600 --> 00:01:16.440]   smells like Purell in there.
[00:01:16.440 --> 00:01:17.040]   That's fine.
[00:01:17.040 --> 00:01:18.800]   This is your hangout for a little bit now.
[00:01:18.800 --> 00:01:22.360]   And now it's maybe 30 or 40 minutes later.
[00:01:22.360 --> 00:01:23.640]   Someone calls you back.
[00:01:23.640 --> 00:01:25.980]   As you may have guessed, they're very unpleasant.
[00:01:25.980 --> 00:01:28.280]   They take you back to the exam room.
[00:01:28.280 --> 00:01:30.560]   It's very small, blad fluorescent lighting
[00:01:30.560 --> 00:01:31.360]   everywhere.
[00:01:31.360 --> 00:01:32.280]   They take your vitals.
[00:01:32.280 --> 00:01:34.480]   They hand you, essentially, a sheet of printer paper.
[00:01:34.480 --> 00:01:36.360]   They tell you to change into this.
[00:01:36.360 --> 00:01:40.200]   Now you're in sort of a secondary holding chamber,
[00:01:40.200 --> 00:01:42.840]   except this time you can hear the doctor in the other room.
[00:01:42.840 --> 00:01:44.920]   And they're saying, hey, it's so great to see you.
[00:01:44.920 --> 00:01:47.360]   And so you know they're just getting started in there,
[00:01:47.360 --> 00:01:51.800]   even though your appointment was an hour ago at this point.
[00:01:51.800 --> 00:01:52.560]   Pull up your phone.
[00:01:52.560 --> 00:01:55.080]   You start to go through your little question list.
[00:01:55.080 --> 00:01:58.800]   Get up the courage to ask everything you came in to ask.
[00:01:58.800 --> 00:02:00.840]   And then finally, the doctor knocks,
[00:02:00.840 --> 00:02:02.560]   like you could possibly still be changing.
[00:02:02.560 --> 00:02:04.640]   He comes in, does a little small talk with you.
[00:02:04.640 --> 00:02:08.320]   He goes and sits down, starts asking you some questions.
[00:02:08.320 --> 00:02:10.400]   You're maybe like eight minutes into the appointment
[00:02:10.400 --> 00:02:10.960]   at this point.
[00:02:10.960 --> 00:02:12.760]   And you're like, OK, also I have some questions.
[00:02:12.760 --> 00:02:15.120]   And you pull up your little question list on your phone.
[00:02:15.120 --> 00:02:18.760]   And you get through maybe like two or three of these questions.
[00:02:18.760 --> 00:02:20.960]   And then the doctor starts to give you a look like,
[00:02:20.960 --> 00:02:22.920]   let's wrap this up.
[00:02:22.920 --> 00:02:23.880]   And so you wrap it up.
[00:02:23.880 --> 00:02:25.080]   You ask three questions.
[00:02:25.080 --> 00:02:26.280]   The appointment is over.
[00:02:26.280 --> 00:02:27.400]   You go outside.
[00:02:27.400 --> 00:02:28.240]   You check out.
[00:02:28.240 --> 00:02:30.400]   If you're lucky, they'll tell you how much you owe.
[00:02:30.400 --> 00:02:33.840]   If not, you will just find out later in the mail.
[00:02:33.840 --> 00:02:37.160]   So my guess is that maybe many of you in this audience
[00:02:37.160 --> 00:02:38.520]   have a concierge doctor.
[00:02:38.520 --> 00:02:41.600]   But most of us have had some iteration of this experience
[00:02:41.600 --> 00:02:42.660]   at some point.
[00:02:42.660 --> 00:02:45.080]   There are a lot of terrible things about our health care
[00:02:45.080 --> 00:02:47.460]   system, but the one I want to complain about specifically
[00:02:47.460 --> 00:02:50.360]   today is why the customer service at the point at which
[00:02:50.360 --> 00:02:52.560]   you're actually consuming the health care
[00:02:52.560 --> 00:02:54.600]   is so appallingly bad.
[00:02:54.600 --> 00:02:56.200]   And when I refer to customer service,
[00:02:56.200 --> 00:02:58.520]   that's anything that touches the patient experience
[00:02:58.520 --> 00:03:00.360]   while you're going to the doctor.
[00:03:00.360 --> 00:03:03.840]   So a long wait time is as much bad customer service
[00:03:03.840 --> 00:03:07.400]   as the unfriendly front desk person.
[00:03:07.400 --> 00:03:10.000]   There's this really great quote that I
[00:03:10.000 --> 00:03:13.080]   love from Bill Gurley, prolific investor.
[00:03:13.080 --> 00:03:16.920]   And my relationship hall passed.
[00:03:16.920 --> 00:03:20.760]   Didn't know he was going to be here.
[00:03:20.760 --> 00:03:23.480]   The US health care market is the least customer
[00:03:23.480 --> 00:03:25.720]   centric of any customer service industry.
[00:03:25.720 --> 00:03:29.640]   We are so numb to the pain that we rarely object or complain.
[00:03:29.640 --> 00:03:32.040]   So that's part of what I think is so crazy about this,
[00:03:32.040 --> 00:03:35.520]   is that we kind of just take it.
[00:03:35.520 --> 00:03:38.080]   And so that got me curious to explore three questions
[00:03:38.080 --> 00:03:40.360]   that I want to go through with you here today.
[00:03:40.360 --> 00:03:42.200]   Number one, why are things so bad?
[00:03:42.200 --> 00:03:43.740]   How did they get this way?
[00:03:43.740 --> 00:03:46.600]   Number two, why should we care that things are so bad?
[00:03:46.600 --> 00:03:48.560]   And number three, what can we do about it?
[00:03:48.560 --> 00:03:50.840]   What's a little something we can do to make it better?
[00:03:50.840 --> 00:03:54.200]   So let's start with, why are things so bad?
[00:03:54.200 --> 00:03:57.440]   A big part of this is our customer service problem
[00:03:57.440 --> 00:04:00.560]   is really more of a consumer service problem.
[00:04:00.560 --> 00:04:02.400]   And what I mean by that is patients
[00:04:02.400 --> 00:04:04.480]   are consuming the health care, but they're not exactly
[00:04:04.480 --> 00:04:07.520]   the customer in the traditional free market sense of the term.
[00:04:07.520 --> 00:04:08.680]   So who is?
[00:04:08.680 --> 00:04:10.640]   The US health care system, as we know,
[00:04:10.640 --> 00:04:12.880]   is an employer sponsored model.
[00:04:12.880 --> 00:04:14.360]   This was not very well thought out.
[00:04:14.360 --> 00:04:15.960]   It's more of a World War II relic
[00:04:15.960 --> 00:04:20.280]   that came from a national mandated wage freeze in 1942.
[00:04:20.280 --> 00:04:21.920]   And we kind of just kept going with it.
[00:04:21.920 --> 00:04:24.040]   And now today, the doctor is not getting out
[00:04:24.040 --> 00:04:26.200]   of bed in the morning for your $15 co-pay.
[00:04:26.200 --> 00:04:27.700]   They're really making their money off
[00:04:27.700 --> 00:04:29.760]   of the major stakeholders in the industry who
[00:04:29.760 --> 00:04:32.000]   are the employers and the insurance companies.
[00:04:32.000 --> 00:04:32.800]   They're the payers.
[00:04:32.800 --> 00:04:35.520]   They're the real customers in this story.
[00:04:35.520 --> 00:04:37.440]   And doctors don't love this either, by the way.
[00:04:37.440 --> 00:04:39.620]   There's major burnout in the medical community.
[00:04:39.620 --> 00:04:41.280]   But when you play this all the way out,
[00:04:41.280 --> 00:04:42.980]   you're left with misaligned incentives
[00:04:42.980 --> 00:04:46.280]   between physicians and patients.
[00:04:46.280 --> 00:04:48.680]   Physicians in the traditional fee-for-service model,
[00:04:48.680 --> 00:04:50.260]   which is our predominant model today,
[00:04:50.260 --> 00:04:53.480]   where physicians are paid per patient encounter,
[00:04:53.480 --> 00:04:56.680]   they're incentivized by volume and not by quality
[00:04:56.680 --> 00:04:58.080]   and not by good health outcomes.
[00:04:58.080 --> 00:05:01.000]   So it's no surprise that practices are not designed
[00:05:01.000 --> 00:05:02.680]   to cater to the patient.
[00:05:02.680 --> 00:05:04.960]   And once that becomes the norm, it becomes the culture.
[00:05:04.960 --> 00:05:06.760]   Every doctor's office can get away with it.
