
[00:00:00.000 --> 00:00:20.000]   For my God is the Ancient of Days. For my God is the Ancient of Days.
[00:00:20.000 --> 00:00:39.000]   I'm alive and well, your spirit is within me.
[00:00:39.000 --> 00:00:46.000]   Because you died and rose again.
[00:00:46.000 --> 00:00:50.000]   Amazing love.
[00:00:50.000 --> 00:00:54.000]   [MUSIC PLAYING]
[00:00:54.000 --> 00:00:58.000]   [MUSIC PLAYING]
[00:00:58.000 --> 00:01:02.000]   [MUSIC PLAYING]
[00:01:02.000 --> 00:01:05.480]   [MUSIC PLAYING]
[00:01:05.480 --> 00:01:08.960]   [MUSIC PLAYING]
[00:01:08.960 --> 00:01:12.440]   [MUSIC PLAYING]
[00:01:12.440 --> 00:01:15.920]   [MUSIC PLAYING]
[00:01:15.920 --> 00:01:19.400]   [MUSIC PLAYING]
[00:01:19.400 --> 00:01:22.880]   [MUSIC PLAYING]
[00:01:22.880 --> 00:01:26.360]   [MUSIC PLAYING]
[00:01:26.360 --> 00:01:29.840]   [MUSIC PLAYING]
[00:01:29.840 --> 00:01:33.320]   [MUSIC PLAYING]
[00:01:33.320 --> 00:01:36.320]   [MUSIC PLAYING]
[00:01:36.320 --> 00:01:39.320]   [MUSIC PLAYING]
[00:01:39.320 --> 00:01:42.320]   [MUSIC PLAYING]
[00:01:42.320 --> 00:01:48.280]   [MUSIC PLAYING]
[00:01:48.280 --> 00:01:52.280]   [MUSIC PLAYING]
[00:01:52.280 --> 00:01:56.280]   [MUSIC PLAYING]
[00:01:56.280 --> 00:02:00.280]   [MUSIC PLAYING]
[00:02:00.280 --> 00:02:04.280]   [MUSIC PLAYING]
[00:02:04.280 --> 00:02:08.280]   [MUSIC PLAYING]
[00:02:09.280 --> 00:02:12.280]   [MUSIC PLAYING]
[00:02:12.280 --> 00:02:16.280]   [MUSIC PLAYING]
[00:02:16.280 --> 00:02:20.280]   [MUSIC PLAYING]
[00:02:20.280 --> 00:02:24.280]   [MUSIC PLAYING]
[00:02:24.280 --> 00:02:28.280]   [MUSIC PLAYING]
[00:02:28.280 --> 00:02:32.280]   [MUSIC PLAYING]
[00:02:32.280 --> 00:02:36.280]   [MUSIC PLAYING]
[00:02:37.280 --> 00:02:40.280]   [MUSIC PLAYING]
[00:02:40.280 --> 00:02:44.280]   [MUSIC PLAYING]
[00:02:44.280 --> 00:02:48.280]   [MUSIC PLAYING]
