
[00:00:00.000 --> 00:00:07.000]   Testing, testing.
[00:00:07.000 --> 00:00:09.000]   Okay.
[00:00:09.000 --> 00:00:16.000]   Ah, ah, ah, ah.
[00:00:16.000 --> 00:00:18.000]   Testing.
[00:00:18.000 --> 00:00:22.000]   One, two, three, four.
[00:00:22.000 --> 00:00:30.000]   Five, six.
[00:00:30.000 --> 00:00:32.000]   All right.
[00:00:32.000 --> 00:00:38.000]   Hopefully you guys have had a very good discussion.
[00:00:38.000 --> 00:00:43.000]   I was having a lengthy discussion with Pastor Peter earlier today.
[00:00:43.000 --> 00:00:47.000]   And we're kind of in the middle of a discussion about how to do
[00:00:47.000 --> 00:00:52.000]   this.
[00:00:52.000 --> 00:00:54.000]   And we're kind of talking about how, like, for the both of us,
[00:00:54.000 --> 00:00:58.000]   in this passage, there's a lot that we have to take out of the
[00:00:58.000 --> 00:01:01.000]   presentation because there's a lot in here.
[00:01:01.000 --> 00:01:03.000]   Okay.
[00:01:03.000 --> 00:01:07.000]   So most likely I'm not going to be getting to every question that
[00:01:07.000 --> 00:01:10.000]   came up and everything that even I deem important.
[00:01:10.000 --> 00:01:13.000]   I'm just going to share with you some things that I feel like would
[00:01:13.000 --> 00:01:17.000]   be helpful a little bit to kind of tie everything together.
[00:01:17.000 --> 00:01:21.000]   And the goal of inductive study is not to get every answer.
[00:01:21.000 --> 00:01:25.000]   The goal of inductive study really is to dive deeply and to start
[00:01:25.000 --> 00:01:28.000]   digging to see really how God would have us live.
[00:01:28.000 --> 00:01:29.000]   Right.
[00:01:29.000 --> 00:01:34.000]   So the first thing, and you've seen this before, this is just a
[00:01:34.000 --> 00:01:38.000]   list of descriptions that in the beginning everything was highlit
[00:01:38.000 --> 00:01:40.000]   in purple.
[00:01:40.000 --> 00:01:41.000]   Okay.
[00:01:41.000 --> 00:01:44.000]   From last week, you know, there are empty talkers, receivers,
[00:01:44.000 --> 00:01:47.000]   circumcision, upsetting whole families, teaching for sordid gain,
[00:01:47.000 --> 00:01:49.000]   liars, evil beasts, lazy gluttons.
[00:01:49.000 --> 00:01:53.000]   And then today Jewish myths turn away from the truth, defiled,
[00:01:53.000 --> 00:01:58.000]   unbelieving, defiled, there's a proper profession, an improper
[00:01:58.000 --> 00:02:02.000]   practice, detestable, disobedient, worthless for any good deed.
[00:02:02.000 --> 00:02:05.000]   Detestable in some translations is actually abomination,
[00:02:05.000 --> 00:02:06.000]   abominable.
[00:02:06.000 --> 00:02:07.000]   All right.
[00:02:07.000 --> 00:02:12.000]   So, man, these people are abominable is what it's saying, like
[00:02:12.000 --> 00:02:13.000]   damnable.
[00:02:13.000 --> 00:02:14.000]   Right.
[00:02:14.000 --> 00:02:19.000]   So this is the description of the rebellious men.
[00:02:19.000 --> 00:02:22.000]   And what is Titus commanded to do?
[00:02:22.000 --> 00:02:25.000]   Rebuke, reprove.
[00:02:25.000 --> 00:02:27.000]   How?
[00:02:27.000 --> 00:02:28.000]   Severely.
[00:02:28.000 --> 00:02:29.000]   Right.
[00:02:29.000 --> 00:02:32.000]   So we're going to be looking at this.
[00:02:32.000 --> 00:02:37.000]   So here in verse 13 it says, "This testimony is true and for
[00:02:37.000 --> 00:02:41.000]   this reason, reprove."
[00:02:41.000 --> 00:02:42.000]   Okay.
[00:02:42.000 --> 00:02:46.000]   And you guys might have had many colorful discussions about this
[00:02:46.000 --> 00:02:50.000]   already, but I'm just going to look at a parallel passage in
[00:02:50.000 --> 00:02:55.000]   1 Timothy 1 and 2 Timothy 2 and kind of see the heartbeat behind
[00:02:55.000 --> 00:02:56.000]   why we reprove.
[00:02:56.000 --> 00:02:58.000]   All right.
[00:02:58.000 --> 00:03:03.000]   1 Timothy 1, 3 to 7 reads, "As I urged you upon my departure from
[00:03:03.000 --> 00:03:08.000]   Macedonia, remain on at Ephesus so that you may instruct certain
[00:03:08.000 --> 00:03:11.000]   men not to teach strange doctrines."
[00:03:11.000 --> 00:03:13.000]   Okay, there's a similar theme.
[00:03:13.000 --> 00:03:16.000]   "Nor to pay attention to myths and endless genealogies which give
[00:03:16.000 --> 00:03:21.000]   rise to mere speculation rather than furthering the administration
[00:03:21.000 --> 00:03:24.000]   of God which is by faith.
[00:03:24.000 --> 00:03:30.000]   But the goal of our instruction is love from a pure heart and a
[00:03:30.000 --> 00:03:33.000]   good conscience and a sincere faith.
[00:03:33.000 --> 00:03:39.000]   For some men, straying from these things, have turned aside to
[00:03:39.000 --> 00:03:45.000]   fruitless discussion, wanting to be teachers of the law even
[00:03:45.000 --> 00:03:49.000]   though they do not understand either what they are saying or
[00:03:49.000 --> 00:03:54.000]   the matters about which they make confident assertions."
[00:03:54.000 --> 00:03:58.000]   So we are surrounded by religious people who think they
[00:03:58.000 --> 00:04:02.000]   know a lot of stuff.
[00:04:02.000 --> 00:04:05.000]   And the call, whether it's the church or the individual
[00:04:05.000 --> 00:04:08.000]   Christian, okay, I haven't gotten there yet, but it's to
[00:04:08.000 --> 00:04:10.000]   reprove.
[00:04:10.000 --> 00:04:12.000]   But the goal is what?
[00:04:12.000 --> 00:04:14.000]   Love.
[00:04:14.000 --> 00:04:18.000]   But when we're usually out to reprove somebody, ooh, love is
[00:04:18.000 --> 00:04:20.000]   a little harder, right?
[00:04:20.000 --> 00:04:22.000]   We want to be vindictive.
[00:04:22.000 --> 00:04:24.000]   We want to win an argument.
[00:04:24.000 --> 00:04:27.000]   Some of you guys I know in here, you don't care about the truth
[00:04:27.000 --> 00:04:29.000]   as much as you care about winning, okay?
[00:04:29.000 --> 00:04:32.000]   That's not the attitude that's supposed to be surfacing.
[00:04:32.000 --> 00:04:37.000]   2 Timothy 2, 23 to 26, "But refuse foolish and ignorant
[00:04:37.000 --> 00:04:41.000]   speculations knowing that they produce quarrels.
[00:04:41.000 --> 00:04:47.000]   The Lord's bondservant must not be quarrelsome but be
[00:04:47.000 --> 00:04:54.000]   kind to all, able to teach, patient when wronged, with
[00:04:54.000 --> 00:04:59.000]   gentleness correcting those who are in opposition.
[00:04:59.000 --> 00:05:04.000]   If perhaps God may grant them repentance leading to the
[00:05:04.000 --> 00:05:09.000]   knowledge of the truth, and they may come to their senses and
[00:05:09.000 --> 00:05:13.000]   escape from the snare of the devil having been held captive
[00:05:13.000 --> 00:05:16.000]   to him to do his will."
[00:05:16.000 --> 00:05:20.000]   So here, just, this is a parallel passage, okay?
[00:05:20.000 --> 00:05:26.000]   What we're being called to do really is with Christlike love
[00:05:26.000 --> 00:05:30.000]   and compassion, correct.
[00:05:30.000 --> 00:05:34.000]   Even if they are enemies of the church, the goal is not like
[00:05:34.000 --> 00:05:36.000]   judgment and vindication.
[00:05:36.000 --> 00:05:38.000]   The goal it is really to love.
[00:05:38.000 --> 00:05:41.000]   And the scriptures point out, seems like there's a possibility
[00:05:41.000 --> 00:05:45.000]   that they can be brought over and won over, okay?
[00:05:45.000 --> 00:05:48.000]   So I think modern day Christians, when it comes to like
[00:05:48.000 --> 00:05:51.000]   false prophets and health and wealth gospel teachers and
[00:05:51.000 --> 00:05:54.000]   stuff, we want God to just judge them and condemn them.
[00:05:54.000 --> 00:05:56.000]   But the goal is not that.
[00:05:56.000 --> 00:06:02.000]   It's always to bring them to restoration as well, okay?
[00:06:02.000 --> 00:06:04.000]   Is that likely?
[00:06:04.000 --> 00:06:06.000]   Usually not, okay?
[00:06:06.000 --> 00:06:08.000]   But that's the heartbeat of the Christian.
[00:06:08.000 --> 00:06:11.000]   And that's why for elders and leaders in the church, you can't
[00:06:11.000 --> 00:06:16.000]   be chip on your shoulder, vindictive, pugnacious.
[00:06:16.000 --> 00:06:20.000]   It takes a mature man to be able to get yelled at and spit on
[00:06:20.000 --> 00:06:25.000]   and chewed on and being called dumb and ignorant and bigoted
[00:06:25.000 --> 00:06:30.000]   and just to continue to speak in love, right?
[00:06:30.000 --> 00:06:33.000]   So that's why the list of elders or the qualifications of elders
[00:06:33.000 --> 00:06:35.000]   remains very important.
[00:06:35.000 --> 00:06:38.000]   Here it says, "But rebuke them sharply."
[00:06:38.000 --> 00:06:41.000]   And when I see this, like instinctively I think emotion,
[00:06:41.000 --> 00:06:43.000]   right?
[00:06:43.000 --> 00:06:47.000]   If I rebuked my child sharply, you're thinking that there's
[00:06:47.000 --> 00:06:51.000]   yelling and screaming, right?
[00:06:51.000 --> 00:06:52.000]   Or like a stick.
[00:06:52.000 --> 00:06:54.000]   Like, "Rawr, rawr, rawr."
[00:06:54.000 --> 00:06:56.000]   Like, is that what Paul is saying?
[00:06:56.000 --> 00:06:59.000]   Like, just do one of these, like shaking them and like,
[00:06:59.000 --> 00:07:00.000]   "Snap out of it."
[00:07:00.000 --> 00:07:01.000]   Is that what that is?
[00:07:01.000 --> 00:07:04.000]   And something that I found was the word severely is only used
[00:07:04.000 --> 00:07:06.000]   two places in the entire New Testament.
[00:07:06.000 --> 00:07:10.000]   And so I kind of did a little bit of a just exploration into
[00:07:10.000 --> 00:07:11.000]   this.
[00:07:11.000 --> 00:07:14.000]   And it's also used in 2 Corinthians 13.10.
[00:07:14.000 --> 00:07:16.000]   And this is what Paul says.
[00:07:16.000 --> 00:07:20.000]   And this is the other place where he uses severely, okay?
[00:07:20.000 --> 00:07:23.000]   "For this reason I am writing these things while absent so that
[00:07:23.000 --> 00:07:29.000]   when present I need not use severity in accordance with the
[00:07:29.000 --> 00:07:33.000]   authority with which the Lord gave me for building up and not
[00:07:33.000 --> 00:07:35.000]   for tearing down."
[00:07:35.000 --> 00:07:39.000]   I don't think this is an emotional word.
[00:07:39.000 --> 00:07:44.000]   This word has more to do with authority than any kind of like
[00:07:44.000 --> 00:07:47.000]   emotional like, right?
[00:07:47.000 --> 00:07:49.000]   "What is wrong with you, you false prophet?"
[00:07:49.000 --> 00:07:51.000]   It's not that, okay?
[00:07:51.000 --> 00:07:57.000]   So is this charge for church leadership or for all believers?
[00:07:57.000 --> 00:07:59.000]   By what standard?
[00:07:59.000 --> 00:08:00.000]   All right?
[00:08:00.000 --> 00:08:02.000]   I'm not necessarily going to come up with all kinds of clear
[00:08:02.000 --> 00:08:03.000]   answers.
[00:08:03.000 --> 00:08:06.000]   But I want to point you to some scriptures that will give you
[00:08:06.000 --> 00:08:09.000]   some insight, okay?
[00:08:09.000 --> 00:08:14.000]   Matthew 16, 18 to 19, Peter makes a confession of the
[00:08:14.000 --> 00:08:16.000]   identity of Jesus.
[00:08:16.000 --> 00:08:19.000]   And Jesus says, "I also say to you that you are Peter and upon
[00:08:19.000 --> 00:08:24.000]   this rock I will build my church and the gates of Hades will not
[00:08:24.000 --> 00:08:25.000]   overpower it.
[00:08:25.000 --> 00:08:28.000]   I will give you the keys of the kingdom of heaven and whatever
[00:08:29.000 --> 00:08:33.000]   you bind on earth shall have been bound in heaven and whatever
[00:08:33.000 --> 00:08:38.000]   you loose on earth shall have been loosed in heaven."
[00:08:38.000 --> 00:08:43.000]   So there's an important role that Peter and the church plays
[00:08:43.000 --> 00:08:46.000]   here on earth in regard to eternity.
[00:08:46.000 --> 00:08:48.000]   You guys understand that?
[00:08:48.000 --> 00:08:49.000]   Okay?
[00:08:49.000 --> 00:08:54.000]   God ordained the church for a specific reason that has
[00:08:54.000 --> 00:08:58.000]   ramifications to eternity, all right?
[00:08:58.000 --> 00:09:02.000]   Verse 18, it talks about Christian and Christian conflict
[00:09:02.000 --> 00:09:06.000]   and if there's a sin, someone has to rebuke them, okay?
[00:09:06.000 --> 00:09:08.000]   And that's the context of the next passage.
[00:09:08.000 --> 00:09:13.000]   If he refuses to listen to the two witnesses, two or three
[00:09:13.000 --> 00:09:16.000]   witnesses, if he refuses to listen to them, tell it to the
[00:09:16.000 --> 00:09:17.000]   church.
[00:09:17.000 --> 00:09:22.000]   And if he refuses to listen even to the church, let him be to you
[00:09:22.000 --> 00:09:25.000]   as a Gentile and a tax collector.
[00:09:25.000 --> 00:09:29.000]   "Truly I say to you, whatever you bind on earth shall have
[00:09:29.000 --> 00:09:33.000]   been bound in heaven, whatever you loose on earth shall have
[00:09:33.000 --> 00:09:34.000]   been loosed in heaven."
[00:09:34.000 --> 00:09:37.000]   Why do I bring this up?
[00:09:37.000 --> 00:09:41.000]   Because there is something about a severe rebuke, if it's not
[00:09:41.000 --> 00:09:44.000]   emotional, what is it?
[00:09:44.000 --> 00:09:46.000]   Does it have eternal ramifications?
[00:09:46.000 --> 00:09:51.000]   Does the church have authority basically not necessarily to
[00:09:51.000 --> 00:09:57.000]   condemn but to judge somebody severely, to almost declare and
[00:09:57.000 --> 00:10:02.000]   proclaim them anathema?
[00:10:02.000 --> 00:10:04.000]   I would say it seems like it.
[00:10:04.000 --> 00:10:06.000]   I would have to do more digging.
[00:10:06.000 --> 00:10:08.000]   So what does he say to Titus?
[00:10:08.000 --> 00:10:10.000]   What does Paul say to Titus?
[00:10:10.000 --> 00:10:12.000]   2.1, speak the things.
[00:10:12.000 --> 00:10:18.000]   2.15, speak and exhort and reprove with all authority.
[00:10:18.000 --> 00:10:24.000]   So Titus, Paul's true child in a common faith, he's been given
[00:10:24.000 --> 00:10:28.000]   the authority of church leadership.
[00:10:28.000 --> 00:10:32.000]   He's not an apostle but he's almost given the authority to be
[00:10:32.000 --> 00:10:34.000]   an ambassador for Paul.
[00:10:34.000 --> 00:10:39.000]   So this is some severe stuff, right?
[00:10:39.000 --> 00:10:44.000]   Chapter 3 verse 8, Paul again says, speak confidently.
[00:10:44.000 --> 00:10:49.000]   In verse 10, reject a factious man.
[00:10:49.000 --> 00:10:52.000]   So as I'm digging through these things, and I'm not gonna have
[00:10:52.000 --> 00:10:57.000]   time to expound on all this, there is a place that God has
[00:10:57.000 --> 00:11:04.000]   given to the church to anathematize false teachers.
[00:11:04.000 --> 00:11:09.000]   Okay, now that's been abused in many way, shapes, and forms
[00:11:09.000 --> 00:11:12.000]   because the goal was not love, it was just a, you know, I've
[00:11:12.000 --> 00:11:13.000]   been offended so get out.
[00:11:13.000 --> 00:11:16.000]   So I wanna wrestle with this.
[00:11:16.000 --> 00:11:19.000]   And I'm gonna leave you here spiritually constipated so you
[00:11:19.000 --> 00:11:21.000]   have to like, oh, what's this mean?
[00:11:21.000 --> 00:11:26.000]   So what does it mean to be reproving severely?
[00:11:26.000 --> 00:11:30.000]   And is it your job or is it the church's?
[00:11:30.000 --> 00:11:34.000]   Ah, okay, is it the church?
[00:11:34.000 --> 00:11:37.000]   And then immediately in our context today, the reason this
[00:11:37.000 --> 00:11:39.000]   is important is because everyone's all speaking badly
