
[00:00:00.000 --> 00:00:05.000]   Can we try for the tag the second time we do it
[00:00:05.000 --> 00:00:17.940]   The second time we do the tag instead of playing the C sharp minor on the last line just play a the whole time
[00:00:17.940 --> 00:00:20.860]   so just like
[00:00:20.860 --> 00:00:27.860]   Yeah, do that. I'm gonna tap my hands for a picture now. So I'm watching your hands.
[00:00:27.860 --> 00:00:29.860]   I think it's fine.
[00:00:30.860 --> 00:00:32.860]   I think it's fine.
[00:00:33.860 --> 00:00:39.860]   I'm gonna tap my hands for a picture now. So I'm watching your hands.
[00:00:39.860 --> 00:00:47.860]   Alright.
[00:00:47.860 --> 00:00:51.860]   I think it's fine.
[00:00:59.860 --> 00:01:02.860]   We should start on time.
[00:01:02.860 --> 00:01:09.860]   Should I just wait for one of them to tell me to start?
[00:01:09.860 --> 00:01:12.860]   Oh, alright.
[00:01:12.860 --> 00:01:16.860]   Sometimes it just starts.
[00:01:17.860 --> 00:01:19.860]   You stay up.
[00:01:20.860 --> 00:01:22.860]   I need to get some...
[00:01:22.860 --> 00:01:35.860]   Are we going off?
[00:01:35.860 --> 00:01:36.860]   What?
[00:01:36.860 --> 00:01:38.860]   Are we going off?
[00:01:38.860 --> 00:01:40.860]   I can't see it like you.
[00:01:40.860 --> 00:01:42.860]   But like, me and Suzanne are both on your hands.
[00:01:42.860 --> 00:01:44.860]   We can take a picture of you.
[00:01:44.860 --> 00:01:46.860]   Or in the cafe.
[00:01:47.860 --> 00:01:49.860]   We have time.
[00:01:49.860 --> 00:01:51.860]   You can come up.
[00:01:51.860 --> 00:01:56.860]   [inaudible]
[00:01:56.860 --> 00:02:01.860]   [inaudible]
[00:02:01.860 --> 00:02:06.860]   [inaudible]
[00:02:06.860 --> 00:02:11.860]   [inaudible]
[00:02:11.860 --> 00:02:16.860]   [inaudible]
[00:02:16.860 --> 00:02:21.860]   [inaudible]
[00:02:21.860 --> 00:02:26.860]   [inaudible]
[00:02:26.860 --> 00:02:31.860]   [inaudible]
[00:02:31.860 --> 00:02:36.860]   [inaudible]
[00:02:36.860 --> 00:02:41.860]   [inaudible]
[00:02:41.860 --> 00:02:46.860]   [inaudible]
[00:02:46.860 --> 00:02:51.860]   [inaudible]
[00:02:51.860 --> 00:02:56.860]   [inaudible]
[00:02:56.860 --> 00:03:01.860]   [inaudible]
[00:03:01.860 --> 00:03:06.860]   [inaudible]
[00:03:06.860 --> 00:03:11.860]   [inaudible]
[00:03:11.860 --> 00:03:16.860]   [inaudible]
[00:03:16.860 --> 00:03:21.860]   [inaudible]
[00:03:21.860 --> 00:03:26.860]   [inaudible]
